chart_id,chart_type,question,explanation,gold_spec,gold_value,gen_spec,gen_value,value_match,gold_looks_wrong,true_answer,audit_note,my_verdict,my_gold_verdict,my_gen_verdict,my_note
2jromeq5u9lloh1s,line_simple,Which years has the biggest jump?,Calculate the year-to-year change in Audience_Millions between each pair of consecutive years on the line. Compare these changes to find the largest increase. Select the later year of the pair with the maximum increase.,"{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Audience_Millions"", ""order"": ""asc"", ""absolute"": false}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Audience_Millions""}]}",12.1 @2011,"{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Audience_Millions"", ""order"": ""asc"", ""absolute"": true}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Audience_Millions"", ""which"": ""max""}]}",12.1 @2011,MATCH,0,,,,,ok,
13guplcbmfu1tjzu,bar_stacked,Which country has the highest european factor?,Treat the European factor as the sum of the “Germany – exports” and “Italy – exports” segments in each country’s stacked bar. Add those two segment values for each country. Compare the resulting European-factor totals across countries. Select the country with the largest total.,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Decrease_in_GDP_Percentage"", ""group"": [""Germany – exports"", ""Italy – exports""], ""by"": ""Country""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max""}]}",0.073 @Hungary,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Decrease_in_GDP_Percentage"", ""group"": [""Germany – exports"", ""Italy – exports""], ""by"": ""Country""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Decrease_in_GDP_Percentage"", ""which"": ""max""}]}",0.073 @Hungary,MATCH,0,"Hungary (European factor = Germany exports 0.004 + Italy exports 0.069 = 0.073, highest of the four countries)","Answer is country ""Hungary""; ours grouped by Factor not Country and returned scalar 0.562, not a country name, so it never identifies the answer.",,,ok,
0q8vqyb35mbq0efx,bar_grouped,Which year had the lowest amount of suicides of all ages combined?,Sum the four “Number of suicides” bars within each Year column to get a yearly total across all age groups. Compare these yearly totals across all years shown. Select the year with the smallest total.,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number of suicides"", ""by"": ""Year""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""min""}]}",731.0 @2015,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number of suicides"", ""by"": ""Year""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number of suicides"", ""which"": ""min""}]}",731.0 @2015,MATCH,0,"2015 (yearly total 731, the lowest across all age groups combined)",Both summed all rows into grand total 9347 instead of per-year sums; correct answer is year 2015 (total 731).,,,ok,
0o12tngadmjjux2n,bar_simple,How many years are above the average?,"Calculate the average of the “Production in million units” values across all years in the chart. 
Compare each year’s bar value to that average. 
Count the years whose production exceeds the average.","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Production in million units""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Production in million units"", ""operator"": "">"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",9.0,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1, ""view"": {""phase"": 1}, ""source"": ""recursive_step=1;taskId=o1""}, ""field"": ""Production in million units""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2, ""view"": {""phase"": 2}, ""source"": ""recursive_step=2;taskId=o2""}, ""field"": ""Production in million units"", ""operator"": "">"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3, ""view"": {""phase"": 3}, ""source"": ""recursive_step=3;taskId=o3""}}]}",9.0,MATCH,0,9 years are above the average (avg = 2.7825),Avg=2.7825; 9 years exceed it; baseline count=9 correct; ours empty; gold returns rows (no count reduction) but value=null so not wrong.,,,ok,
10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,"Filter the chart to the bars colored for the Agriculture sector. 
Compare the Agriculture segment heights across all years. 
Select the year whose Agriculture segment reaches the greatest height.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Agriculture""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Share_of_GDP""}]}",0.3498 @2011,"{""ops3"": [{""op"": ""findExtremum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 3}, ""field"": ""Share_of_GDP"", ""group"": ""Agriculture"", ""which"": ""max""}]}",0.3498 @2011,MATCH,0,,,,,ok,
2o3fyauxv32p571i,line_simple,Which year had the second-lowest value?,Sort the years by the Operating_Profit_Margin values from lowest to highest. Locate the entry in the second position of that ordered list. Read off the corresponding Year label.,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Operating_Profit_Margin"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""n"": 2, ""from"": ""left""}]}",0.14 @2014,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Operating_Profit_Margin"", ""order"": ""asc""}, {""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""n"": 2, ""from"": ""left""}]}",0.14 @2014,MATCH,0,,,,ok,ok,
11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,"Locate the South Korea and France segments within each stacked bar for every Period. 
Read the Share_of_Import_Value for those two countries in each Period. 
Compare South Korea’s value to France’s value period by period. List the Periods where South Korea’s value is greater.","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""South Korea"", ""groupB"": ""France"", ""seriesField"": ""Country"", ""by"": ""Period"", ""field"": ""Share_of_Import_Value"", ""signed"": true}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""operator"": "">"", ""value"": 0}]}","[4 rows: 2016:0.036, 2017:0.078, 2018:0.111, Jan-Oct 2019:0.065]","{""ops3"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 3}, ""by"": ""Period"", ""seriesField"": ""Country"", ""field"": ""Share_of_Import_Value"", ""groupA"": ""South Korea"", ""groupB"": ""France"", ""signed"": true, ""absolute"": false}], ""ops4"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 4}, ""field"": ""Share_of_Import_Value"", ""operator"": "">"", ""value"": 0}]}","[4 rows: 2016:0.036, 2017:0.078, 2018:0.111, Jan-Oct 2019:0.065]",MATCH,0,"2016, 2017, 2018, and Jan-Oct 2019 (the periods where South Korea > France)","""Which years"" list question; pairDiff(SK-France) then filter>0 yields rows for 2016/2017/2018/Jan-Oct2019 — ours, baseline, and gold all use this logic correctly.",,,ok,
0s6zi9dyw22qo4rp,bar_simple,What is the difference between the average of September 1896 until December 1896 and the average of January 1897 until April 1897?,"Select the four bars from September 1896 through December 1896 and compute their mean fatality rate. 
Select the four bars from January 1897 through April 1897 and compute their mean fatality rate. 
Subtract the earlier-period mean from the later-period mean.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Month/Year"", ""operator"": ""between"", ""value"": [""Sep 1896"", ""Dec 1896""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Fatality rate among plague cases""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Month/Year"", ""operator"": ""between"", ""value"": [""Jan 1897"", ""Apr 1897""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Fatality rate among plague cases""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n4"", ""targetB"": ""ref:n2"", ""signed"": true}]}",0.0735 @__diff__,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Month/Year"", ""include"": [""Dec 1896"", ""Nov 1896"", ""Oct 1896"", ""Sep 1896""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Fatality rate among plague cases""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Month/Year"", ""include"": [""Apr 1897"", ""Feb 1897"", ""Jan 1897"", ""Mar 1897""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Fatality rate among plague cases""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Fatality rate among plague cases"", ""targetA"": ""ref:n4"", ""targetB"": ""ref:n2"", ""signed"": false}]}",0.0735 @__diff__,MATCH,0,,,,,ok,
2ebtadc07b7bo277,line_simple,Which year had the second lowest value?,Sort the points by the “Average price in US dollars” value in ascending order. Locate the point with the smallest value and move to the next point in that sorted order. Read the “Year” label for that second-from-bottom point.,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average price in US dollars"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""n"": 2, ""from"": ""left""}]}",3.74 @2016,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average price in US dollars"", ""order"": ""asc""}, {""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""n"": 2, ""from"": ""left""}]}",3.74 @2016,MATCH,0,2016 (value 3.74),"Second lowest price is 3.74 (2016); gold correct, ours and baseline both returned 2011/4.88.",,,ok,
0prhtod4tli879nh,bar_grouped,Which city had the biggest jump in population from 2010 to 2025?,Read the 2010 and 2025 bar heights for each city in the chart. Calculate the population change by subtracting the 2010 value from the 2025 value for every city. Compare these changes across cities. Select the city with the largest increase.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""2025"", ""groupB"": ""2010"", ""seriesField"": ""Year"", ""by"": ""City"", ""field"": ""Population in millions"", ""signed"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Population in millions""}]}",6.4 @Delhi,"{""ops"": [{""op"": ""diff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1, ""view"": {""phase"": 1}, ""source"": ""recursive_step=1;taskId=o1""}, ""field"": ""Population in millions"", ""groupA"": ""2025"", ""groupB"": ""2010"", ""signed"": true, ""by"": ""City""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2, ""view"": {""phase"": 2}, ""source"": ""recursive_step=2;taskId=o2""}, ""field"": ""Population in millions"", ""which"": ""max""}]}",6.4 @Delhi,MATCH,0,"Delhi, with a jump of 6.4 million (28.6 - 22.2)","Max jump is Delhi 6.4; gold correct, but ours and baseline both returned 5.6 (Karachi's diff), the wrong extremum.",,ok,ok,"op: ""read""라고 해서 retrieveValue인 것은 아님. 이후 each city가 나오므로 pairDiff가 맞음."
