#,chart_type,chart_id,all_id,question,explanation
1,line_simple,2jromeq5u9lloh1s,line_simple_2jromeq5u9lloh1s,Which years has the biggest jump?,"1. Get the difference between every year
2. Get the extremum "
2,bar_stacked,13guplcbmfu1tjzu,bar_stacked_13guplcbmfu1tjzu,Which country has the highest european factor?,"1. Get the sum of germany and italy for each country
2. Get the country with the highest value"
3,bar_grouped,0q8vqyb35mbq0efx,bar_grouped_0q8vqyb35mbq0efx,Which year had the lowest amount of suicides of all ages combined?,"1. Sum of all the age ranges for every year
2. Find the extremum (lowest)"
4,bar_simple,0o12tngadmjjux2n,bar_simple_0o12tngadmjjux2n,How many years are above the average?,"1. Find average
2. filter which countries are above the average"
5,bar_stacked,10t8o5vhethzeod1,bar_stacked_10t8o5vhethzeod1,In which year was the agriculture sector the highest,"1. get the all values from the agriculture sector
2. find the maximum value"
6,line_simple,2o3fyauxv32p571i,line_simple_2o3fyauxv32p571i,Which year had the second-lowest value?,"1. Sort  in ascending order by year
2. find the second lowest"
7,bar_stacked,11e148qcs7x70t8v,bar_stacked_11e148qcs7x70t8v,in which years does south korea have a bigger value than france?,"1. Get difference between south korea and france in every year
2. Filter the year with a positive value"
8,bar_simple,0s6zi9dyw22qo4rp,bar_simple_0s6zi9dyw22qo4rp,What is the difference between the average of September 1896 until December 1896 and the average of January 1897 until April 1897?,"1. calculate the average of sep 1896 until dec 1896
2. calculate the average of jan 1897 until april 1897
3. compare the two averages"
9,line_simple,2ebtadc07b7bo277,line_simple_2ebtadc07b7bo277,Which year had the second lowest value?,"1. sort the values from lowest to highest
2. find the second lowest "
10,bar_grouped,0prhtod4tli879nh,bar_grouped_0prhtod4tli879nh,Which city had the biggest jump in population from 2010 to 2025?,"1. get the difference of every city in every year
2. find the extremum"
11,line_simple,2jki13q54zizc6i4,line_simple_2jki13q54zizc6i4,"If you compare the average value from july 2008 until june 2012 and july 2013 until june 2017, which value is higher?","1. get the average from july 2008 until june 2012
2. get the average from july 2013 until june 2017
3. compare 
4. find extremum"
12,bar_simple,0pzdf7hfbxgjghsa,bar_simple_0pzdf7hfbxgjghsa,How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?,"1. retrieve value of 2016 and 2017
2. retrieve value of 2017 and 2018
3. get the difference of the retrieved values"
13,bar_grouped,0rfuaawgi58ajpsv,bar_grouped_0rfuaawgi58ajpsv,What is the difference in the average between North America and Latin America?,"1. Get the average of Northern America
2. Get the average of Latin America
3. Get the difference between the two average values"
14,bar_grouped,0rdpculfpyw3bv5p,bar_grouped_0rdpculfpyw3bv5p,Which year shows the lowest gap between lending and investment?,"1. Get the difference between lending and investment in every year
2. Find the year with the smallest value"
15,bar_stacked,10x2rgiqw97wdspi,bar_stacked_10x2rgiqw97wdspi,Which season was above average in both commercial and broadcasting?,"1. Find the average of the commercial
2. Find the average of the broadcasting
3. Find the season that is above average for both commercial and broadcasting"
16,bar_simple,0qz3v0bszsex7jjm,bar_simple_0qz3v0bszsex7jjm,Which fiscal years' expenditures are below average?,"1. Determine average
2. Compare each year's value with the average
3. Filter to countries that are below average"
17,line_multiple,23wg8zio5ahp40tg,line_multiple_23wg8zio5ahp40tg,Which year had the biggest gap between favor and oppose?,"1. calculate difference between the values of favor and oppose
2. find extremum"
18,line_multiple,28bxxhd6omv2l2h1,line_multiple_28bxxhd6omv2l2h1,What is the difference between the maximum and minimum gap between the two groups?,"1. calculate the difference for each value
2. find the maximum value"
19,line_multiple,29rxoltwhongoday,line_multiple_29rxoltwhongoday,"In 2002 and 2017, which year shows the highest gap between two opinion?","1. calculate the difference in 2002 and 2017
2. find the year which has the bigger difference"
20,line_multiple,2eiyyw562tcvjypp,line_multiple_2eiyyw562tcvjypp,How many years has Russia had higher favorability than the US?,"1. calculate the difference between Russia and the US
2. count the number of years that Russia is higher than the US"
21,line_multiple,1h4rj9i2jtzq589y,line_multiple_1h4rj9i2jtzq589y,"Which of the most recent years is the value of the EU 5-country media with y-axis values between 51 and 61?
","1. Check y-axis number
2. Check the points between 51 and 61
3. Check the year of values corresponding to the EU 5-country media between 51 and 61 
4. Choose the largest year"
22,bar_stacked,0gf8ugj84bs1ko2k,bar_stacked_0gf8ugj84bs1ko2k,What is the average value for each service area in the year when the data center's revenue was highest?,"1. Check the graph for the data center with the highest value.
2. Check the value for each service area.
3. Calculate the average."
23,line_multiple,14jt6jor7iknkjkl,line_multiple_14jt6jor7iknkjkl,What is the sum of the Confidence in U.S. present values for the period in which the favorite view of the U.S. is the lowest?,"1. Check the section with the lowest favorite view of U.S. value (2009, 2010, 2011)
2. Check Confidence in U.S. present value corresponding to section 1
3. Add all values of number 2"
24,line_multiple,16aphfabldrpgcmd,line_multiple_16aphfabldrpgcmd,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,"1. Counting the number of values above 3670 on the Boys graph
2. Counting the number of values above 3550 on the Girls graph
3. Add the number of 1 and 2"
25,bar_stacked,0dglnk2wbf5ll15t,bar_stacked_0dglnk2wbf5ll15t,What is the difference between the average of values corresponding to Poor and the average of values corresponding to Good?,"1. Check the values for each year's Poor
2. Obtaining the mean of the values found in number 1
3. Check the value corresponding to Good for each year
4. Obtaining the mean of the values found in number 3
5. Find the difference between the two mean values"
26,line_simple,10gtgmmgh599jnr7,line_simple_10gtgmmgh599jnr7,What is the difference between the second largest and the smallest values between 2000 and 2008?,"1. Check the largest value between 2000 and 2009
2. Determine the second largest value after the largest value between 2000 and 2009
3. Determine the smallest value between 2000 and 2009 
4. Subtract small value from large value"
27,line_simple,0ix8hz9qvakto18g,line_simple_0ix8hz9qvakto18g,What is the sum of the year when the Ease of Doing Business score is the second largest and the year when the Ease of Doing Business score is the second smallest?,"1. Check the top of the graph
2. Then check the value of the dot above
3. Check the bottom of the graph
4. Compare each of the bottom three point values
5. Check the smallest value and check the Year
6. Add values of 2 and 5"
28,bar_simple,0egdxqun1m2n9k4z,bar_simple_0egdxqun1m2n9k4z,What is the average of the revenue multiple from 2006 to 2011?,"1. Check the Revenue multiple values from 2006 to 2011.
2. Add all the values
3. Divide by six."
