participant_code,order_system,order_chart,system,system_label,ps_trust,ps_usefulness,ps_transparency,ps_tlx_mental,ps_tlx_temporal,ps_tlx_performance,ps_tlx_effort,ps_best_aspect,ps_tlx_effort_reason,ps_tlx_mental_reason,ps_tlx_performance_reason,ps_tlx_temporal_reason,ps_transparency_reason,ps_trust_reason,ps_usefulness_reason,ps_worst_aspect
SO1CO1,SO1,CO1,Ours,A,5,6,6,3,2,6,2,"I personally like a step-by-step approach that requires low cognitive effort, while still delivering accurate visualizations tailored to the user's needs","Not really, it was pretty straightforward and easy to understand.","Not really, it was pretty straightforward and easy to understand but need to verify some correctness for calculation","Yes, most the explanation delivered is correct.","Not really, the step by step approach allows me to do it in my own pace",I think the system is highly transparent because of the step-by-step pipeline where it allows user to trace the analysis based on the user's need,"The system got most of the answer correct, but there are cases like Explanation 5 where the system got it wrong and i had to verify most of the correctness of the calculation myself","I really like how the visualization is shown step-by-step because I believe it has reduced cognitive effort of analysing the graph manually, most of the explanation is useful as well.",Maybe increasing the accuracy of the system when representing the graph would be perfect. 
SO1CO1,SO1,CO1,B1,B,3,4,3,5,2,5,4,It provides clear guidance on how to find the answer ,"Moderate, it was harder than the previous one but still manageable considering the information is not super dense",Quite mentally demanding since I have to read the text and determine the correctness of the text and the information from the graph which is double effort,"Yes, although it requires higher mental effort but I can still understand it",Not really since I can still do it in my own pace,"The system is not as transparent as the previous one, since I dont know how the explanation is formed and no steps are provided, and I'm just dumped with a bunch of text","I generally dont trust the system when I'm first trying it out, because I have to manually check its correctness before I can determine whether the explanation it provides is actually accurate","However, the explanation is still useful as a guidance in my opinion once the correctness is guaranteed",Maybe structure the text into steps like 1) 2) etc or break it down into point forms that might be easier to interpret by users
SO1CO1,SO1,CO1,B2,C,6,6,6,2,2,6,2,I can still interpret other parts of the graph since the graph stay constant while only additional marks are added for visualization and it provides more details in calculation compared to System A,"Not really, it was pretty straightforward and easy to understand","Not really, it was pretty easy to understand","Yes, I understood it clearly","Not really, I can do it step by step according to my own pace",Highly transparent since I can track the system's correctness in fewer steps with the aid of the visualization,"For me, this one is pretty similar to System A as explanation is break down into easily understandable step where i can visualize it faster instead of checking the correctness manually","Yes, since it makes understanding easier through stepby step visualization",Maybe increasing the accuracy of the system when representing the graph would be perfect. 
SO1CO1,SO1,CO1,B3,D,5,5,5,3,2,6,3,Step by step approach,"Not really, it was pretty straightforward and easy to understand despite the calculation part","Not really, it was pretty straightforward and easy to understand but need to verify some correctness for calculation","Yes, I understood it clearly","Not really, I can do it step by step according to my own pace",Highly transparent since I can track the system's correctness in fewer steps with the aid of the visualization,"Same problem as System A, it lacks clarification on the calculation so I still have to check the correctness of it","Yes, since it makes understanding easier through step by step visualization despite the wrong ones",Add more explanation through visualization on parts where calculation is involved would be nice
SO1CO2,SO1,CO2,Ours,A,6,7,7,1,2,7,2,The animation paired with each reasoning. I loved how the animation highlighted (in 'bold') the relevant parts of the chart QA.,The animations lowered the cognitive load on understanding the explanation (though I had to double-check to see if the reasoning & animation were actually correct).,The animations made the explanation very easy to understand.,The explanations were straightforward.,"The step-by-step reasoning made sense, so I could just follow the reasoning steps without thinking too much outside of the reasoning or rushing to get the final answer.","I remember there was one wrong answer for this system (England & Wales part), but the reasoning step was transparent enough that I could pinpoint where and how the reasoning went wrong. So, although the reasoning was wrong and the final answer was also wrong, I could see how the system reasoned and came up with the final answer.","All but 1 explanation was correct, and the visualization was immaculate.",The reasoning and the animation paired with each reasoning step made me understand the data visualization better.,"Some problems with reasoning (one question asked to pinpoint the 'smallest value', but the system pinpointed the 'second-smallest value' in its reasoning step), but the system was transparent enough that a human could find the errorneous step without too much cognitive load."
SO1CO2,SO1,CO2,B1,B,5,1,1,3,5,6,2,The text wasn't too hard to understand.,Understanding the explanation wasn't the hard part: checking whether the explanation's answer is actually correct was.,"As I stated above, understanding the text wasn't too hard.
However, it had some cognitive load compared to other systems, as there were no animations and only text for this system.",The explanation was straightforward overall.,"Because I had to go through the tedious step of calculating everything by hand, I felt a bit rushed during the calculation because it took so much of my time.",A large reason on why this system wasn't useful for me is because it didn't include transparency for each of its calculations.,"Most explanations were pretty straightforward, but the explanation didn't include specific steps for calculation.","Although the explanations themselves were 'correct', it didn't help answer the chart QA for two reasons:
1. The explanation didn't provide specific calculation processes, so I had to go through each calculation by hand to check whether the system's calculation was correct.
2. Another reason why I had to check the calculations was because none of the final answers matched the explanation's answers. So, I had to find out which of the two answer was correct by hand.",Please align the final answer and the explanation's answer: this was extremely frustrating for the user (who had to check whether the answer was right or wrong).
SO1CO2,SO1,CO2,B2,C,2,2,6,2,1,6,1,The markers helped me understand the reasoning.,Understanding the explanation was relatively easy.,"The explanations themselves were straightforward, especially with markers (although some parts of the reasoning were wrong).",Understanding the explanation was relatively easy thanks to the markers for each reasoning step.,I felt no feeling of being rushed because the reasoning were presented step-by-step.,"The markers made me understand what the system was actually thinking for each reasoning step, so it was easy to pinpoint errors in reasoning.","This system produced too much errors within the reasoning step. Also, the animations tied to some reasoning steps were completely wrong. This made me not trust the system in general.","The explanations were sometimes correct, but I noticed that this system produces lots of 'labels' and 'arrows' on the chart for each reasoning step. Some of the added markers in the visualization wasn't aligned properly with actual values, making me frustrated and hindering my understanding of the chart.
Also, some explanations produced hallucinations (for example, choosing a random value when the reasoning indicated it found the largest value), so the explanations were more of a burden than of actual use.","The markers were sometimes not drawn accurately (in their correct position), and there were multiple situations of hallucinations."
SO1CO2,SO1,CO2,B3,D,2,6,6,5,1,6,5,"Animations were cool, especially transforming chart types.",Same with the prevous answer; understanding transformed charts came as a cognitive burden.,"This system frequently uses the method of transforming chart types for better explanability (such as transforming stacked bar charts into grouped bar charts). This did enhance understanding eventually, but at first glance it was hard to determine why the chart suddenly changed so much. Users not familiar to data visualization may have a harder time understanding the system.","For the 'average of maximum payment in all states' question, changing the x values for grouped bar charts suddenly made me look through the chart multiple times to understand it clearly.
(Maybe I would have understood it better if the transformed charts had different color schemes.)
Other than this occasion, I was successful in understanding all other explanations.",I just had to follow the step-by-step reasoning.,"The explanations were transparent, as the system added markers and numbers on top of the chart that helps understand the reasoning process.","This system also included multiple occasions of hallucinations. For example, the system sometimes didn't follow the question's requirements (measuring values between 20 and 30 when the chart question asked for values between 19 and 30) or failed to understand the values in the chart (reasoning that two values were at a near-tie when one is clearly bigger than the other). 
Also, the final answer didn't match the answer from the reasoning, which made me trust the system even less.","The explanations were useful, but some had accuracy issues. Animations also helped me understand the explanations.
This system transformed chart types for better explanability (such as transforming stacked bar charts into grouped bar charts), which did make the explanation more useful.","This system still had too many hallucinations and incorrect final answers, so the actual accuracy need to be improved."
SO1CO3,SO1,CO3,Ours,A,7,7,7,4,1,7,1,The direct calculation of each point; I didn't have to calculate it myself,"The explanation showed the reasoning process in steps, so it was easy to understand","I think it's hard when there's no supplementary explanation, but it's easier to infer after the explanation has been added, but I had to double-check if there was a wrong answer
",The explanation was easy to understand,"it explained step by step, so it was very clear to wait",I think it was easier to understand if you focus on each part of the large scale,"You don't have to calculate one by one, but you calculated it on your own and showed me the answer intuitively, so I trusted the systems","I saw a graph at a glance, so it was easy to deduce",For me was perfect
SO1CO3,SO1,CO3,B1,B,7,7,4,1,1,7,1,it showed the explanation of each point so it helped to undertansding more easily,it showed the explanation of each point so it helped to undertansding more easily,it showed the explanation of each point so it helped to undertansding more easily,it showed the explanation of each point so iw help to undertansding more easily,"It showed wach number of points, so i didnt feel that worried","although the scale showed the each number of point, for me was little difficult to resolt the problem ",it showed the explanation of each point ,it showed the explanation of each point so it helped to undertansding more easily,nothing
