chart_id,chart_type,pre_ours,post_ours,baseline_correct,note,user_id,question,explanation,ops_selected,ops_others
2jromeq5u9lloh1s,line_simple,1,1,1,,,,,,
13guplcbmfu1tjzu,bar_stacked,0,0,0,"Ours returned scalar 0.562 (sum of ALL rows, no per-country grouping) instead of the country Hungary; gold and baseline produced no spec.",,,,,
0q8vqyb35mbq0efx,bar_grouped,0,0,0,"Both ops global-sum all rows to 9347 (grand total) then min on one scalar; missing group-by-year, so neither identifies 2015.",,,,,
0o12tngadmjjux2n,bar_simple,0,1,1,avg=2.7825; 9 years above it; ours and baseline both count=9 correct; gold returns rows (no count op) but data is consistent.,,,,,
10t8o5vhethzeod1,bar_stacked,1,1,1,,,,,,
2o3fyauxv32p571i,line_simple,1,1,1,,,,,,
11e148qcs7x70t8v,bar_stacked,1,1,1,List question; signed pairDiff(SK-France) then filter>0 yields the 4 correct periods for ours/baseline/gold.,,,,,
0s6zi9dyw22qo4rp,bar_simple,1,1,1,,,,,,
2ebtadc07b7bo277,line_simple,0,1,0,,,,,,
0prhtod4tli879nh,bar_grouped,1,1,1,,,,,,
2jki13q54zizc6i4,line_simple,0,0,0,"Answer is P2(3568.0)>P1(3208.5); gold compareBool=0(false=P1 not higher, correct); ours returned 3620 (max of P1 rows); baseline returned 3208.5 (the lower avg, not the max).",,,,,
0pzdf7hfbxgjghsa,bar_simple,0,0,1,"Ours returned 1.39 (only the 2016→2017 change), never computing the 2017→2018 change or the comparison; baseline and gold both give diff-of-diffs 1.17.",,,,,
0rfuaawgi58ajpsv,bar_grouped,1,1,1,,,,,,
0rdpculfpyw3bv5p,bar_grouped,1,1,1,,,,,,
10x2rgiqw97wdspi,bar_stacked,0,0,0,Ours returns boolean comparing the two averages (1.0) not the seasons; baseline mangles via pairDiff and returns empty; correct answer is the 5 seasons above both averages.,,,,,
0qz3v0bszsex7jjm,bar_simple,1,1,1,"List question; all three end in a filter on expenditure < avg(ref:n1), correctly yielding the 11 below-average years as rows.",,,,,
23wg8zio5ahp40tg,line_multiple,0,0,0,"Biggest gap is 1996 (38); both ours and baseline used signed/non-absolute diff, returning max signed value -6 (2010), which is the smallest gap not the biggest.",,,,,
28bxxhd6omv2l2h1,line_multiple,0,0,0,"Question wants range (max−min gap)=0.8; gold=0.8 correct; ours & baseline both returned only the max gap (2.6) via findExtremum, missing the min subtraction.",,,,,
29rxoltwhongoday,line_multiple,1,1,1,,,,,,
2eiyyw562tcvjypp,line_multiple,0,0,0,,,,,,
1h4rj9i2jtzq589y,line_multiple,0,0,0,"In-range EU median years {2012,2013,2014}; most recent=2014; gold correct, ours picked 2016 (val 50, out of range), baseline picked 2012 (in range but not most recent).",,,,,
0gf8ugj84bs1ko2k,bar_stacked,0,0,0,"Peak Data Centers year is 2022; true avg across service areas = 1319; ours returned 1848 (just the max), baseline returned NaN.",,,,,
14jt6jor7iknkjkl,line_multiple,1,0,0,"Intended period 2009-2011 sums Confidence 56+49+49=154; ours returned 105 (only 56+49, dropped 2011's 49); baseline has no spec.",,,,,
