chart_id,chart_type,question,explanation,gold_spec,gold_value,gen_spec,gen_value,value_match,gold_looks_wrong,true_answer,audit_note,my_verdict,my_gold_verdict,my_gen_verdict,my_note
2jromeq5u9lloh1s,line_simple,Which years has the biggest jump?,"1. Get the difference between every year
2. Get the extremum ","{""ops"":[{""op"":""lagDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Audience_Millions""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",12.1 @2011,"{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Audience_Millions"", ""order"": ""asc"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Audience_Millions"", ""which"": ""max""}]}",12.1 @2011,MATCH,0,,,,,ok,
13guplcbmfu1tjzu,bar_stacked,Which country has the highest european factor?,"1. Get the sum of germany and italy for each country
2. Get the country with the highest value","{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Decrease_in_GDP_Percentage"", ""group"": [""Germany – exports"", ""Italy – exports""], ""by"": ""Country""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max""}]}",0.073 @Hungary,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Decrease_in_GDP_Percentage"", ""group"": [""Germany – exports"", ""Italy – exports""], ""by"": ""Country""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Decrease_in_GDP_Percentage"", ""which"": ""max""}]}",0.073 @Hungary,MATCH,0,"Hungary (Germany+Italy exports = 0.004+0.069 = 0.073, highest of the four countries)","Answer is Hungary; ours returned scalar 0.562 (no country, and the number matches no valid computation), so incorrect; gold/baseline have no spec.",,,ok,
0q8vqyb35mbq0efx,bar_grouped,Which year had the lowest amount of suicides of all ages combined?,"1. Sum of all the age ranges for every year
2. Find the extremum (lowest)","{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number of suicides"", ""by"": ""Year""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""min""}]}",731.0 @2015,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number of suicides"", ""by"": ""Year""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number of suicides"", ""which"": ""min""}]}",731.0 @2015,MATCH,0,2015 (lowest combined total = 731 suicides),Both used global sum (9347 grand total) instead of per-year group-sum; correct answer is year 2015 with total 731.,,,ok,
0o12tngadmjjux2n,bar_simple,How many years are above the average?,"1. Find average
2. filter which countries are above the average","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Production in million units""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Production in million units"",""operator"":"">"",""value"":""ref:n1""}]}","[9 rows: 2002:2.89, 2003:2.93, 2004:3.0, 2005:2.98]","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Production in million units""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Production in million units"", ""operator"": "">"", ""value"": ""ref:n1""}]}","[9 rows: 2002:2.89, 2003:2.93, 2004:3.0, 2005:2.98]",MATCH,0,9 years (avg = 2.7825; 9 of 16 years exceed it),"Q wants a count (9); baseline reduces to scalar 9.0 (correct); ours returns unreduced filtered rows, no count.",,,ok,
10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,"1. get the all values from the agriculture sector
2. find the maximum value","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""group"":""Agriculture""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""field"":""Share_of_GDP""}]}",0.3498 @2011,"{""ops2"": [{""op"": ""findExtremum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Share_of_GDP"", ""group"": ""Agriculture"", ""which"": ""max""}]}",0.3498 @2011,MATCH,0,,,,,ok,
2o3fyauxv32p571i,line_simple,Which year had the second-lowest value?,"1. Sort  in ascending order by year
2. find the second lowest","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Operating_Profit_Margin"",""order"":""asc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":2}]}",0.14 @2014,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""orderField"": ""Operating_Profit_Margin"", ""n"": 2, ""from"": ""left""}]}",0.14 @2014,MATCH,0,,,,,ok,
11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,"1. Get difference between south korea and france in every year
2. Filter the year with a positive value","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Period"",""groupA"":""South Korea"",""groupB"":""France"",""seriesField"":""Country"",""field"":""Share_of_Import_Value""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Share_of_Import_Value"",""operator"":"">"",""value"":0}]}","[4 rows: 2016:0.036, 2017:0.078, 2018:0.111, Jan-Oct 2019:0.065]","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Period"", ""seriesField"": ""Country"", ""field"": ""Share_of_Import_Value"", ""groupA"": ""South Korea"", ""groupB"": ""France"", ""signed"": true, ""absolute"": false}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share_of_Import_Value"", ""operator"": "">"", ""value"": 0}]}","[4 rows: 2016:0.036, 2017:0.078, 2018:0.111, Jan-Oct 2019:0.065]",MATCH,0,"2016, 2017, 2018, and Jan-Oct 2019 (years where South Korea > France: diffs +0.036, +0.078, +0.111, +0.065)","pairDiff(SK-France)>0 filter returns rows for 2016/2017/2018/Jan-Oct 2019, matching the computed answer.",,,ok,
0s6zi9dyw22qo4rp,bar_simple,What is the difference between the average of September 1896 until December 1896 and the average of January 1897 until April 1897?,"1. calculate the average of sep 1896 until dec 1896
2. calculate the average of jan 1897 until april 1897
3. compare the two averages","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Month/Year"",""operator"":""between"",""value"":[""Sep 1896"",""Dec 1896""]},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Fatality rate among plague cases""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Month/Year"",""operator"":""between"",""value"":[""Jan 1897"",""Apr 1897""]},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Fatality rate among plague cases""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}",0.0735 @__diff__,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Month/Year"", ""include"": [""Dec 1896"", ""Nov 1896"", ""Oct 1896"", ""Sep 1896""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Fatality rate among plague cases""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Month/Year"", ""include"": [""Apr 1897"", ""Feb 1897"", ""Jan 1897"", ""Mar 1897""], ""xKindHint"": ""nominal""}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Fatality rate among plague cases""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Fatality rate among plague cases"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}",0.0735 @__diff__,MATCH,0,,,,,ok,
2ebtadc07b7bo277,line_simple,Which year had the second lowest value?,"1. sort the values from lowest to highest
2. find the second lowest ","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Average price in US dollars"",""order"":""asc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":2}]}",3.74 @2016,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average price in US dollars"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Average price in US dollars"", ""n"": 2, ""from"": ""left""}]}",3.74 @2016,MATCH,0,2016 (second lowest value 3.74; lowest is 3.32 in 2010),Second lowest is 2016 (3.74); ours and baseline both returned 2011/4.88 which is wrong; gold correct.,,ok,ok,
0prhtod4tli879nh,bar_grouped,Which city had the biggest jump in population from 2010 to 2025?,"1. get the difference of every city in every year
2. find the extremum","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""City"",""groupA"":""2025"",""groupB"":""2010"",""seriesField"":""Year"",""field"":""Population in millions"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""field"":""Population in millions""}]}",6.4 @Delhi,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""City"", ""seriesField"": ""Year"", ""field"": ""Population in millions"", ""groupA"": ""2025"", ""groupB"": ""2010"", ""signed"": true, ""absolute"": false}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Population in millions"", ""which"": ""max""}]}",6.4 @Delhi,MATCH,0,,,,,ok,
