chart_id,chart_type,question,explanation,gold_spec,gold_value,gen_spec,gen_value,value_match,gold_looks_wrong,true_answer,audit_note,my_verdict,my_gold_verdict,my_gen_verdict,my_note
2jromeq5u9lloh1s,line_simple,Which years has the biggest jump?,Compute the difference in audience values between each consecutive pair of years on the chart. Find the largest positive increase among these calculated differences. Select the two years that bound this maximum jump.,"{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Audience_Millions"", ""order"": ""asc"", ""absolute"": false}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Audience_Millions""}]}",12.1 @2011,"{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Audience_Millions"", ""order"": ""asc"", ""absolute"": false}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Audience_Millions"", ""which"": ""max""}]}",12.1 @2011,MATCH,0,Biggest jump is 12.1 (2010→2011); answer years 2010–2011 (target year 2011).,"Max consecutive jump = 12.1 (2010→2011); ours=12.1/2011 correct, baseline=10.0/2010 picked first jump (wrong).",,,ok,
13guplcbmfu1tjzu,bar_stacked,Which country has the highest european factor?,Treat the European factors as the Germany and Italy categories. Sum the values of these two categories for each country. Select the country that yields the maximum combined value.,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Decrease_in_GDP_Percentage"", ""group"": [""Germany – exports"", ""Italy – exports""], ""by"": ""Country""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max""}]}",0.073 @Hungary,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Decrease_in_GDP_Percentage"", ""group"": [""Germany – exports"", ""Italy – exports""], ""by"": ""Country""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Decrease_in_GDP_Percentage"", ""which"": ""max""}]}",0.073 @Hungary,MATCH,0,"Hungary (Germany+Italy exports sum = 0.004+0.069 = 0.073, the highest among countries)","Question asks for a country (Hungary); ours never grouped by Country, returned a scalar 0.562 instead of the country name, so incorrect; gold and baseline have no spec.",,,ok,
0q8vqyb35mbq0efx,bar_grouped,Which year had the lowest amount of suicides of all ages combined?,Sum the number of suicides across all four age groups for each year. Compare the resulting yearly totals. Select the year that yields the lowest overall amount.,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number of suicides"", ""by"": ""Year""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""min""}]}",731.0 @2015,"{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number of suicides"", ""by"": ""Year""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number of suicides"", ""which"": ""min""}]}",731.0 @2015,MATCH,0,2015 (lowest yearly total = 731 suicides across all age groups),Both summed the entire field (9347) instead of grouping by year; correct answer is 2015 with total 731.,,,ok,
0o12tngadmjjux2n,bar_simple,How many years are above the average?,Calculate the average of all yearly values. Compare each year against that average. Count the years that exceed it.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Production in million units""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Production in million units"", ""operator"": "">"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",9.0,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Production in million units""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Production in million units"", ""operator"": "">"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Production in million units""}]}",9.0,MATCH,0,9,"Average=2.7825; 9 years exceed it; both ours and baseline returned count 9 (correct); gold stops at filter (final=rows, value null) so doesn't contradict computation.",,,ok,
10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,Filter the chart to isolate the agriculture-sector values. Find the maximum Share_of_GDP within this group. Select the year corresponding to that peak.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Agriculture""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Share_of_GDP""}]}",0.3498 @2011,"{""ops"": [{""op"": ""findExtremum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Share_of_GDP"", ""group"": ""Agriculture"", ""which"": ""max""}]}",0.3498 @2011,MATCH,0,,,,,ok,
2o3fyauxv32p571i,line_simple,Which year had the second-lowest value?,Rank the unique Operating_Profit_Margin values from lowest to highest. Identify the second value in that ranked list. Select the years that match this margin.,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Operating_Profit_Margin"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""n"": 2, ""from"": ""left""}]}",0.14 @2014,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1, ""view"": {""phase"": 1}, ""source"": ""recursive_step=1;taskId=o1""}, ""field"": ""Operating_Profit_Margin"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2, ""view"": {""phase"": 2}, ""source"": ""recursive_step=2;taskId=o2""}, ""n"": 2, ""from"": ""left""}], ""ops3"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3, ""view"": {""phase"": 3}, ""source"": ""recursive_step=3;taskId=o3""}, ""field"": ""Operating_Profit_Margin"", ""operator"": ""=="", ""value"": ""ref:n2""}]}","[2 rows: 2014:0.14, 2015:0.14]",MISMATCH,0,"Second-lowest unique value is 0.14, held by years 2014 and 2015 (lowest is 0.07 in 2016).","Ours produced no spec; baseline's filter returns rows 2014+2015 (the years with second-lowest value 0.14), matching the explanation's intent; gold value 0.14 is correct though its target omits 2015.",,ok,wrong,
11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,Find the Share_of_Import_Value amounts for both South Korea and France across all periods. Compare the two country values within each period. Select the time frames where the South Korea figure is strictly greater than the corresponding France figure.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""South Korea"", ""groupB"": ""France"", ""seriesField"": ""Country"", ""by"": ""Period"", ""field"": ""Share_of_Import_Value"", ""signed"": true}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""operator"": "">"", ""value"": 0}]}","[4 rows: 2016:0.036, 2017:0.078, 2018:0.111, Jan-Oct 2019:0.065]","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Period"", ""seriesField"": ""Country"", ""field"": ""Share_of_Import_Value"", ""groupA"": ""South Korea"", ""groupB"": ""France"", ""signed"": true, ""absolute"": false}, {""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share_of_Import_Value"", ""operator"": "">"", ""value"": 0}]}","[4 rows: 2016:0.036, 2017:0.078, 2018:0.111, Jan-Oct 2019:0.065]",MATCH,0,"2016, 2017, 2018, and Jan-Oct 2019 (periods where South Korea > France)","All three use pairDiff(SK−France) then filter>0, correctly yielding the 4 periods where SK>France; rows final is right for a list question.",,,ok,
0s6zi9dyw22qo4rp,bar_simple,What is the difference between the average of September 1896 until December 1896 and the average of January 1897 until April 1897?,Extract the fatality rates for the months from September 1896 through December 1896. Average this first set of values. Select the rates for the months from January 1897 through April 1897. Compute the mean for this second group. Subtract the smaller result from the larger one.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Month/Year"", ""operator"": ""between"", ""value"": [""Sep 1896"", ""Dec 1896""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Fatality rate among plague cases""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Month/Year"", ""operator"": ""between"", ""value"": [""Jan 1897"", ""Apr 1897""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Fatality rate among plague cases""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}",0.0735 @__diff__,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Month/Year"", ""include"": [""Dec 1896"", ""Nov 1896"", ""Oct 1896"", ""Sep 1896""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Fatality rate among plague cases""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Month/Year"", ""include"": [""Apr 1897"", ""Feb 1897"", ""Jan 1897"", ""Mar 1897""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Fatality rate among plague cases""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Fatality rate among plague cases"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}",0.0735 @__diff__,MATCH,0,,,,,ok,
2ebtadc07b7bo277,line_simple,Which year had the second lowest value?,Sort the average price values in ascending order. Select the second smallest value from the resulting sequence. Find the year associated with that price.,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average price in US dollars"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""n"": 2, ""from"": ""left""}]}",3.74 @2016,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average price in US dollars"", ""order"": ""asc""}, {""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""n"": 2, ""from"": ""left""}, {""op"": ""retrieveValue"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""ref:n2""}]}",3.74 @2016,MATCH,0,2016 (second lowest value = 3.74),"Second lowest is 3.74 (2016); both ours and baseline used nth with orderField=Year instead of sorted value, returning 2011/4.88 — wrong. Gold correct.",,,ok,
0prhtod4tli879nh,bar_grouped,Which city had the biggest jump in population from 2010 to 2025?,Subtract the 2010 population value from the 2025 population value for each city. Select the city with the largest resulting difference.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""2025"", ""groupB"": ""2010"", ""seriesField"": ""Year"", ""by"": ""City"", ""field"": ""Population in millions"", ""signed"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Population in millions""}]}",6.4 @Delhi,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": [""2010"", ""2025""], ""xKindHint"": ""nominal""}, {""op"": ""pairDiff"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""by"": ""City"", ""seriesField"": ""Year"", ""field"": ""Population in millions"", ""groupA"": ""2025"", ""groupB"": ""2010"", ""signed"": true, ""absolute"": false}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Population in millions"", ""which"": ""max""}]}",6.4 @Delhi,MATCH,0,"Delhi, with the biggest jump of 6.4 million (28.6 - 22.2)","Per-city 2025-2010 diff is max for Delhi (6.4M); ours+gold match, baseline grouped by Year and returned 17.3/""2025"" (not a city).",,,ok,
