chart_id,chart_type,ours_correct,baseline_correct,true_answer,gold_looks_wrong,note
2jromeq5u9lloh1s,line_simple,1,0,Biggest jump is 12.1 (2010→2011); answer years 2010–2011 (target year 2011).,0,"Max consecutive jump = 12.1 (2010→2011); ours=12.1/2011 correct, baseline=10.0/2010 picked first jump (wrong)."
13guplcbmfu1tjzu,bar_stacked,0,0,"Hungary (Germany+Italy exports sum = 0.004+0.069 = 0.073, the highest among countries)",0,"Question asks for a country (Hungary); ours never grouped by Country, returned a scalar 0.562 instead of the country name, so incorrect; gold and baseline have no spec."
0q8vqyb35mbq0efx,bar_grouped,0,0,2015 (lowest yearly total = 731 suicides across all age groups),0,Both summed the entire field (9347) instead of grouping by year; correct answer is 2015 with total 731.
0o12tngadmjjux2n,bar_simple,1,1,9,0,"Average=2.7825; 9 years exceed it; both ours and baseline returned count 9 (correct); gold stops at filter (final=rows, value null) so doesn't contradict computation."
10t8o5vhethzeod1,bar_stacked,1,1,,0,
2o3fyauxv32p571i,line_simple,0,1,"Second-lowest unique value is 0.14, held by years 2014 and 2015 (lowest is 0.07 in 2016).",0,"Ours produced no spec; baseline's filter returns rows 2014+2015 (the years with second-lowest value 0.14), matching the explanation's intent; gold value 0.14 is correct though its target omits 2015."
11e148qcs7x70t8v,bar_stacked,1,1,"2016, 2017, 2018, and Jan-Oct 2019 (periods where South Korea > France)",0,"All three use pairDiff(SK−France) then filter>0, correctly yielding the 4 periods where SK>France; rows final is right for a list question."
0s6zi9dyw22qo4rp,bar_simple,1,1,,0,
2ebtadc07b7bo277,line_simple,0,0,2016 (second lowest value = 3.74),0,"Second lowest is 3.74 (2016); both ours and baseline used nth with orderField=Year instead of sorted value, returning 2011/4.88 — wrong. Gold correct."
0prhtod4tli879nh,bar_grouped,1,0,"Delhi, with the biggest jump of 6.4 million (28.6 - 22.2)",0,"Per-city 2025-2010 diff is max for Delhi (6.4M); ours+gold match, baseline grouped by Year and returned 17.3/""2025"" (not a city)."
2jki13q54zizc6i4,line_simple,1,1,,0,
0pzdf7hfbxgjghsa,bar_simple,1,1,,0,
0rfuaawgi58ajpsv,bar_grouped,0,1,8.422 (NA avg 9.578 − LatAm avg 1.156),0,"Ours returns NaN: its 2nd step filters Latin America on top of the already-North-America-filtered n1, yielding an empty subset; baseline and gold both give 8.422."
0rdpculfpyw3bv5p,bar_grouped,1,1,,0,
10x2rgiqw97wdspi,bar_stacked,0,0,"2015/16, 2016/17, 2017/18, 2018/19, 2019/20 (Commercial avg=257.82, Broadcasting avg=211.95; all 5 seasons above Commercial avg are also above Broadcasting avg)",0,"Answer is 5 seasons (2015/16–2019/20); both ours and baseline returned empty, gold has no spec."
0qz3v0bszsex7jjm,bar_simple,1,1,"Average ≈ 3.447 billion GBP; below-average fiscal years (11): 00/01, 01/02, 02/03, 03/04, 04/05, 05/06, 06/07, 07/08, 08/09, 10/11, 12/13",0,All three end in filter Expenditure < ref:avg yielding the correct 11 below-average years as rows; intermediate diffByValue in ours/baseline is harmless.
23wg8zio5ahp40tg,line_multiple,1,1,,0,
28bxxhd6omv2l2h1,line_multiple,1,1,,0,
29rxoltwhongoday,line_multiple,0,0,"2017 (gap = |85-13| = 72, vs 2002's |79-16| = 63)",0,"Gold value 72 / target 2017 matches; ours returns compareBool false (0.0) instead of identifying year 2017, so wrong; baseline empty."
2eiyyw562tcvjypp,line_multiple,0,0,,0,
