id,question,explanation,chart_context_json,spec_json
0o12tngadmjjux2n,How many years are above the average?,"1. Find average
2. filter which countries are above the average","{""fields"": [""Year"", ""Production in million units""], ""dimension_fields"": [""Year""], ""measure_fields"": [""Production in million units""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Production in million units"", ""series_field"": null, ""categorical_values"": {""Year"": [""1999"", ""2000"", ""2001"", ""2002"", ""2003"", ""2004"", ""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014""]}, ""field_types"": {""Year"": ""categorical"", ""Production in million units"": ""numeric""}, ""numeric_stats"": {""Production in million units"": {""min"": 2.04, ""max"": 3.21, ""mean"": 2.7825}}, ""mark"": ""bar"", ""is_stacked"": false, ""encoding_summary"": {""y"": {""field"": ""Production in million units"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Production in million units""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Production in million units"", ""operator"": "">"", ""value"": ""ref:n1""}]}"
0pzdf7hfbxgjghsa,How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?,"1. retrieve value of 2016 and 2017
2. retrieve value of 2017 and 2018
3. get the difference of the retrieved values","{""fields"": [""Year"", ""Production in billion heads""], ""dimension_fields"": [""Year""], ""measure_fields"": [""Production in billion heads""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Production in billion heads"", ""series_field"": null, ""categorical_values"": {""Year"": [""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019""]}, ""field_types"": {""Year"": ""categorical"", ""Production in billion heads"": ""numeric""}, ""numeric_stats"": {""Production in billion heads"": {""min"": 1.35, ""max"": 3.73, ""mean"": 2.321}}, ""mark"": ""bar"", ""is_stacked"": false, ""encoding_summary"": {""y"": {""field"": ""Production in billion heads"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2016""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2017""}, {""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 1}, ""signed"": false}], ""ops2"": [{""op"": ""retrieveValue"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""target"": ""2017""}, {""op"": ""retrieveValue"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""target"": ""2018""}, {""op"": ""diff"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n4"", ""n5""], ""sentenceIndex"": 2}, ""signed"": false}], ""ops3"": [{""op"": ""diff"", ""id"": ""n7"", ""meta"": {""nodeId"": ""n7"", ""inputs"": [""n3"", ""n6""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n3"", ""targetB"": ""ref:n6"", ""signed"": false}]}"
0k7bm9iqewnrzj47,Is the average of the top three greater than twice the average of the lowest three?,"1. find the top three values
2. calculate the average
3. find the lowest three values
4. calculate the average
5. double the lowest average
6. compare the two values to find which one is bigger","{""fields"": [""Year"", ""Production in million liters""], ""dimension_fields"": [""Year""], ""measure_fields"": [""Production in million liters""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Production in million liters"", ""series_field"": null, ""categorical_values"": {""Year"": [""1995"", ""2000"", ""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019"", ""2020""]}, ""field_types"": {""Year"": ""categorical"", ""Production in million liters"": ""numeric""}, ""numeric_stats"": {""Production in million liters"": {""min"": 104.3, ""max"": 374.0, ""mean"": 257.34444444444443}}, ""mark"": ""bar"", ""is_stacked"": false, ""encoding_summary"": {""y"": {""field"": ""Production in million liters"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""include"": [""2018"", ""2019"", ""2020""]}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Production in million liters""}], ""ops3"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 3}, ""field"": ""Year"", ""include"": [""1995"", ""2000"", ""2005""]}], ""ops4"": [{""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 4}, ""field"": ""Production in million liters""}], ""ops5"": [{""op"": ""compare"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 5}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""which"": ""min""}, {""op"": ""scale"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n5""], ""sentenceIndex"": 5}, ""target"": ""ref:n5"", ""factor"": 2.0}], ""ops6"": [{""op"": ""compare"", ""id"": ""n7"", ""meta"": {""nodeId"": ""n7"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 6}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""which"": ""max""}, {""op"": ""compare"", ""id"": ""n8"", ""meta"": {""nodeId"": ""n8"", ""inputs"": [""n6"", ""n7""], ""sentenceIndex"": 6}, ""targetA"": ""ref:n6"", ""targetB"": ""ref:n7"", ""which"": ""max""}]}"
0w88bu7qm4ilsqmh,What is the difference between the average of before 2000 and from 2010?,"1. Find the average of the values for 1955 and 1999.
2. Find the average of the values for 2010, 2013, and 2017.
3. Calculate the difference between the two averages.","{""fields"": [""Year"", ""Installed base in million units""], ""dimension_fields"": [""Year""], ""measure_fields"": [""Installed base in million units""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Installed base in million units"", ""series_field"": null, ""categorical_values"": {""Year"": [""1995"", ""1999"", ""2006"", ""2008"", ""2010"", ""2013"", ""2017""]}, ""field_types"": {""Year"": ""categorical"", ""Installed base in million units"": ""numeric""}, ""numeric_stats"": {""Installed base in million units"": {""min"": 54.0, ""max"": 128.0, ""mean"": 83.85714285714286}}, ""mark"": ""bar"", ""is_stacked"": false, ""encoding_summary"": {""y"": {""field"": ""Installed base in million units"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""include"": [""1995"", ""1999""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Installed base in million units""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""include"": [""2010"", ""2013"", ""2017""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Installed base in million units""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Installed base in million units"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}"
10t8o5vhethzeod1,In which year was the agriculture sector the highest,"1. get the all values from the agriculture sector
2. find the maximum value","{""fields"": [""Year"", ""Sector"", ""Share_of_GDP""], ""dimension_fields"": [""Year"", ""Sector""], ""measure_fields"": [""Share_of_GDP""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Share_of_GDP"", ""series_field"": ""Sector"", ""categorical_values"": {""Year"": [""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""2019""], ""Sector"": [""Agriculture"", ""Industry"", ""Services""]}, ""field_types"": {""Year"": ""categorical"", ""Sector"": ""categorical"", ""Share_of_GDP"": ""numeric""}, ""numeric_stats"": {""Share_of_GDP"": {""min"": 0.131, ""max"": 0.5102, ""mean"": 0.30839696969696967}}, ""mark"": ""bar"", ""is_stacked"": true, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Share_of_GDP"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Sector"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Agriculture""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share_of_GDP"", ""which"": ""max""}]}"
0aj7na7tkqb7iomu,What is the difference between the installed base million value of Tablets in 2017 and the installed base million value of Mobile PCs in 2022?,"1. Check the value of the installed Base Millions in Tablets for 2017
2. Check Mobile PCs' Installed Base Millions value for 2022
3. Check the values of 1 and 2 which are greater
4. Subtract small value from large value","{""fields"": [""Year"", ""Device_Type"", ""Installed_Base_Millions""], ""dimension_fields"": [""Year"", ""Device_Type""], ""measure_fields"": [""Installed_Base_Millions""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Installed_Base_Millions"", ""series_field"": ""Device_Type"", ""categorical_values"": {""Year"": [""2017"", ""2018"", ""2019"", ""2020"", ""2021"", ""2022""], ""Device_Type"": [""Desktop PCs"", ""Mobile PCs"", ""Tablets""]}, ""field_types"": {""Year"": ""categorical"", ""Device_Type"": ""categorical"", ""Installed_Base_Millions"": ""numeric""}, ""numeric_stats"": {""Installed_Base_Millions"": {""min"": 61.76, ""max"": 244.43, ""mean"": 162.98555555555555}}, ""mark"": ""bar"", ""is_stacked"": true, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Installed_Base_Millions"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Device_Type"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2017"", ""group"": ""Tablets""}], ""ops2"": [{""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""target"": ""2022"", ""group"": ""Mobile PCs""}], ""ops3"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""field"": ""Installed_Base_Millions"", ""which"": ""max""}], ""ops4"": [{""op"": ""diff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 4}, ""field"": ""Installed_Base_Millions"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": false}]}"
0gzowodb2py0d1s9,How many years did Thailand's revenue exceed that of the Philippines'?,"1. Filter for the revenue of Thailand and the Philippines
2. Compare the revenue of Thailand and the Philippines
3. count the years for which Thailand's revenue was higher.","{""fields"": [""Year"", ""Country_Region"", ""Revenue_Million_USD""], ""dimension_fields"": [""Year"", ""Country_Region""], ""measure_fields"": [""Revenue_Million_USD""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Revenue_Million_USD"", ""series_field"": ""Country_Region"", ""categorical_values"": {""Year"": [""2016"", ""2017"", ""2018"", ""2019"", ""2020"", ""2021""], ""Country_Region"": [""China"", ""Japan"", ""Malaysia"", ""Others"", ""Philippines"", ""Thailand"", ""United States""]}, ""field_types"": {""Year"": ""categorical"", ""Country_Region"": ""categorical"", ""Revenue_Million_USD"": ""numeric""}, ""numeric_stats"": {""Revenue_Million_USD"": {""min"": 0.0, ""max"": 1471.18, ""mean"": 377.7792857142857}}, ""mark"": ""bar"", ""is_stacked"": true, ""encoding_summary"": {""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Revenue_Million_USD"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Country_Region"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": [""Philippines"", ""Thailand""]}], ""ops2"": [{""op"": ""pairDiff"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""by"": ""Year"", ""field"": ""Revenue_Million_USD"", ""groupA"": ""Thailand"", ""groupB"": ""Philippines"", ""signed"": true, ""absolute"": false, ""seriesField"": ""Country_Region""}], ""ops3"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Revenue_Million_USD"", ""operator"": "">"", ""value"": 0}, {""op"": ""count"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 3}, ""field"": ""Revenue_Million_USD""}]}"
004fhteah0l9kud2,What is the difference between the average of Commercial and the average of Matchday?,"Add all the Commercial values for each year.
Divide the value by six.
Add all the values of the matchday for each year.
Divide the value by six.
Find the difference between the two computed values.","{""fields"": [""Season"", ""Revenue_Type"", ""Revenue_Million_Euros""], ""dimension_fields"": [""Season"", ""Revenue_Type""], ""measure_fields"": [""Revenue_Million_Euros""], ""primary_dimension"": ""Season"", ""primary_measure"": ""Revenue_Million_Euros"", ""series_field"": ""Revenue_Type"", ""categorical_values"": {""Season"": [""2015/16"", ""2016/17"", ""2017/18"", ""2018/19"", ""2019/20"", ""2020/21""], ""Revenue_Type"": [""Broadcasting"", ""Commercial"", ""Matchday""]}, ""field_types"": {""Season"": ""categorical"", ""Revenue_Type"": ""categorical"", ""Revenue_Million_Euros"": ""numeric""}, ""numeric_stats"": {""Revenue_Million_Euros"": {""min"": 391.0, ""max"": 4133.0, ""mean"": 1644.9444444444443}}, ""mark"": ""bar"", ""is_stacked"": true, ""encoding_summary"": {""x"": {""field"": ""Season"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Revenue_Million_Euros"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Revenue_Type"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""sum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Revenue_Million_Euros"", ""group"": ""Commercial""}], ""ops2"": [{""op"": ""scale"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""target"": ""ref:n1"", ""factor"": 0.16666666666666666}], ""ops3"": [{""op"": ""sum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 3}, ""field"": ""Revenue_Million_Euros"", ""group"": ""Matchday""}], ""ops4"": [{""op"": ""scale"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 4}, ""target"": ""ref:n3"", ""factor"": 0.16666666666666666}], ""ops5"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 5}, ""field"": ""Revenue_Million_Euros"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": true}]}"
11e148qcs7x70t8v,in which years does south korea have a bigger value than france?,"1. difference between south korea and france in every year
2. filter the year with positive value","{""fields"": [""Period"", ""Country"", ""Share_of_Import_Value""], ""dimension_fields"": [""Period"", ""Country""], ""measure_fields"": [""Share_of_Import_Value""], ""primary_dimension"": ""Period"", ""primary_measure"": ""Share_of_Import_Value"", ""series_field"": ""Country"", ""categorical_values"": {""Period"": [""2014"", ""2015"", ""2016"", ""2017"", ""2018"", ""Jan-Oct 2019""], ""Country"": [""France"", ""Japan"", ""South Korea"", ""UK"", ""US""]}, ""field_types"": {""Period"": ""categorical"", ""Country"": ""categorical"", ""Share_of_Import_Value"": ""numeric""}, ""numeric_stats"": {""Share_of_Import_Value"": {""min"": 0.047, ""max"": 0.368, ""mean"": 0.17263333333333333}}, ""mark"": ""bar"", ""is_stacked"": true, ""encoding_summary"": {""x"": {""field"": ""Period"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Share_of_Import_Value"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Country"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Period"", ""seriesField"": ""Country"", ""field"": ""Share_of_Import_Value"", ""groupA"": ""South Korea"", ""groupB"": ""France"", ""signed"": true, ""absolute"": false}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share_of_Import_Value"", ""operator"": "">"", ""value"": 0}]}"
0prhtod4tli879nh,Which city had the biggest jump in population from 2010 to 2025?,"1. get the difference of every city between 2010 and 2025
2. find the extremum","{""fields"": [""City"", ""Year"", ""Population in millions""], ""dimension_fields"": [""City"", ""Year""], ""measure_fields"": [""Population in millions""], ""primary_dimension"": ""Year"", ""primary_measure"": ""Population in millions"", ""series_field"": ""Year"", ""categorical_values"": {""City"": ["""", ""Calcutta"", ""Delhi"", ""Dhaka"", ""Karachi"", ""Mexico City"", ""Mumbai"", ""New York-Newark"", ""Shanghai"", ""São Paulo"", ""Tokyo""], ""Year"": ["""", ""2010"", ""2025""]}, ""field_types"": {""City"": ""categorical"", ""Year"": ""categorical"", ""Population in millions"": ""numeric""}, ""numeric_stats"": {""Population in millions"": {""min"": 13.1, ""max"": 37.1, ""mean"": 21.61}}, ""mark"": ""bar"", ""is_stacked"": true, ""encoding_summary"": {""column"": {""field"": ""City"", ""type"": ""ordinal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""y"": {""field"": ""Population in millions"", ""type"": ""quantitative"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""x"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}, ""color"": {""field"": ""Year"", ""type"": ""nominal"", ""title"": null, ""aggregate"": null, ""stack"": null}}}","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""City"", ""seriesField"": ""Year"", ""field"": ""Population in millions"", ""groupA"": ""2010"", ""groupB"": ""2025"", ""signed"": true, ""absolute"": false}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max""}]}"
