chart_id,chart_type,op_status,viz_status,question,explanation,operation_spec,op_feedback,viz_feedback,updated_at
2jromeq5u9lloh1s,simpleLine,verified,pending,Which years has the biggest jump?,Calculate the year-to-year change in Audience_Millions between each pair of consecutive years on the line. Compare these changes to find the largest increase. Select the later year of the pair with the maximum increase.,"{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Audience_Millions"", ""order"": ""asc"", ""absolute"": false}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Audience_Millions""}]}",,,2026-05-26T01:32:42.615Z
13guplcbmfu1tjzu,stackedBar,pending,pending,Which country has the highest european factor?,Treat the European factor as the sum of the “Germany – exports” and “Italy – exports” segments in each country’s stacked bar. Add those two segment values for each country. Compare the resulting European-factor totals across countries. Select the country with the largest total.,,,,2026-05-25T02:04:25
0q8vqyb35mbq0efx,groupedBar,bug,bug,Which year had the lowest amount of suicides of all ages combined?,Sum the four “Number of suicides” bars within each Year column to get a yearly total across all age groups. Compare these yearly totals across all years shown. Select the year with the smallest total.,,"/op operation 추가가 필요해보임. 여기서 각 x축 값 (year) 별  모든 group (bars)의 합을 구해서  simple bar 형태로 나타내면 좋을 것 같음.
",,2026-05-25T06:38:29.908Z
0o12tngadmjjux2n,simpleBar,verified,pending,How many years are above the average?,"Calculate the average of the “Production in million units” values across all years in the chart. 
Compare each year’s bar value to that average. 
Count the years whose production exceeds the average.","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Production in million units""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Production in million units"", ""operator"": "">"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}","/op:n1 이후에 average와 각 값을 비교하는 DiffByValue 있어야 함. ""Compare each fiscal year’s bar height to that average level.""",,2026-05-25T07:29:32.878Z
10t8o5vhethzeod1,stackedBar,verified,pending,In which year was the agriculture sector the highest,"Filter the chart to the bars colored for the Agriculture sector. 
Compare the Agriculture segment heights across all years. 
Select the year whose Agriculture segment reaches the greatest height.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Agriculture""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Share_of_GDP""}]}",,,2026-05-26T01:05:09.283Z
2o3fyauxv32p571i,simpleLine,verified,pending,Which year had the second-lowest value?,Sort the years by the Operating_Profit_Margin values from lowest to highest. Locate the entry in the second position of that ordered list. Read off the corresponding Year label.,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Operating_Profit_Margin"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""n"": 2, ""from"": ""left""}]}",,,2026-05-26T01:32:48.322Z
11e148qcs7x70t8v,stackedBar,verified,pending,in which years does south korea have a bigger value than france?,"Locate the South Korea and France segments within each stacked bar for every Period. 
Read the Share_of_Import_Value for those two countries in each Period. 
Compare South Korea’s value to France’s value period by period. List the Periods where South Korea’s value is greater.","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""South Korea"", ""groupB"": ""France"", ""seriesField"": ""Country"", ""by"": ""Period"", ""field"": ""Share_of_Import_Value"", ""signed"": true}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""operator"": "">"", ""value"": 0}]}",,,2026-05-26T01:05:27.434Z
0s6zi9dyw22qo4rp,simpleBar,verified,pending,What is the difference between the average of September 1896 until December 1896 and the average of January 1897 until April 1897?,"Select the four bars from September 1896 through December 1896 and compute their mean fatality rate. 
Select the four bars from January 1897 through April 1897 and compute their mean fatality rate. 
Subtract the earlier-period mean from the later-period mean.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Month/Year"", ""operator"": ""between"", ""value"": [""Sep 1896"", ""Dec 1896""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Fatality rate among plague cases""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Month/Year"", ""operator"": ""between"", ""value"": [""Jan 1897"", ""Apr 1897""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Fatality rate among plague cases""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n4"", ""targetB"": ""ref:n2"", ""signed"": true}]}",,"이 케이스가 chart split이 필요한 경우임. DAG 구조 상 두 ops group(ops, ops2)이 하나의 ops group(ops3)에서 동시에 참조되어 사용되기 때문에, 이런 경우 split view가 필요함. ",2026-05-25T07:43:55.256Z
2ebtadc07b7bo277,simpleLine,pending,pending,Which year had the second lowest value?,Sort the points by the “Average price in US dollars” value in ascending order. Locate the point with the smallest value and move to the next point in that sorted order. Read the “Year” label for that second-from-bottom point.,"{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average price in US dollars"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""n"": 2, ""from"": ""left""}]}",,,
0prhtod4tli879nh,groupedBar,verified,pending,Which city had the biggest jump in population from 2010 to 2025?,Read the 2010 and 2025 bar heights for each city in the chart. Calculate the population change by subtracting the 2010 value from the 2025 value for every city. Compare these changes across cities. Select the city with the largest increase.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""2025"", ""groupB"": ""2010"", ""seriesField"": ""Year"", ""by"": ""City"", ""field"": ""Population in millions"", ""signed"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Population in millions""}]}",,,2026-05-26T01:10:42.901Z
2jki13q54zizc6i4,simpleLine,verified,pending,"If you compare the average value from july 2008 until june 2012 and july 2013 until june 2017, which value is higher?",Group the points into the four periods from Jul 2008–Jun 2009 through Jul 2011–Jun 2012 and the four periods from Jul 2013–Jun 2014 through Jul 2016–Jun 2017. Calculate the average Number of trucks within each group. Compare the two averages. Select the group with the larger average.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Period"", ""operator"": ""between"", ""value"": [""Jul 2008 - Jun 2009"", ""Jul 2011 - Jun 2012""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Number of trucks""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Period"", ""operator"": ""between"", ""value"": [""Jul 2013 - Jun 2014"", ""Jul 2016 - Jun 2017""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Number of trucks""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""operator"": "">"", ""targetA"": ""ref:n4"", ""targetB"": ""ref:n2""}]}",,,2026-05-26T01:33:00.728Z
0pzdf7hfbxgjghsa,simpleBar,verified,pending,How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?,"Read the bar values for 2016, 2017, and 2018 from the chart. 
Subtract the 2016 value from the 2017 value to get the 2016→2017 change. 
Subtract the 2017 value from the 2018 value to get the 2017→2018 change. 
Compare the two changes by subtracting the smaller change from the larger.","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""2016"", ""field"": ""Production in billion heads""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""2017"", ""field"": ""Production in billion heads""}, {""op"": ""retrieveValue"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 1}, ""target"": ""2018"", ""field"": ""Production in billion heads""}, {""op"": ""diff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2"", ""n1""], ""sentenceIndex"": 1}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n1"", ""field"": ""Production in billion heads"", ""signed"": true}], ""ops2"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n3"", ""n2""], ""sentenceIndex"": 2}, ""targetA"": ""ref:n3"", ""targetB"": ""ref:n2"", ""field"": ""Production in billion heads"", ""signed"": true}], ""ops3"": [{""op"": ""diff"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n5"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n5"", ""targetB"": ""ref:n4"", ""signed"": false}]}",,,2026-05-25T07:25:15.696Z
0rfuaawgi58ajpsv,groupedBar,pending,pending,What is the difference in the average between North America and Latin America?,Select the bars for North America across all years and calculate their average value. Select the bars for Latin America across all years and calculate their average value. Subtract the Latin America average from the North America average.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Media rights revenue in billion US dollars"", ""group"": ""North America""}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Media rights revenue in billion US dollars"", ""group"": ""Latin America""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": true}]}",,,
0rdpculfpyw3bv5p,groupedBar,pending,pending,Which year shows the lowest gap between lending and investment?,Locate the Lending and Investment bars within each Year column. Calculate the absolute difference between those two values for each year. Compare the four gaps and select the year with the smallest difference.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""groupA"": ""Lending"", ""groupB"": ""Investment"", ""seriesField"": ""Type"", ""by"": ""Year"", ""field"": ""Value in billion US dollars"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""min"", ""field"": ""Value in billion US dollars""}]}",,,
