participant_code,order_system,order_chart,order_index,system,system_label,method,group,chart_id,chart_type,question,answer_shown,answer_is_correct,correct_answer,participant_answer_correct,judged_correctly,first_error_chunk_index,error_description,response_time_ms,updated_at,rating_reasoning_easy,rating_derivation_clear,rating_usefulness
SO1CO1,SO1,CO1,0,Ours,A,ours,G1,0wflwm4jebx7n12y,bar_simple,What is the difference between the average and the maximum number?,141.25,True,141.25,Yes,True,,,103241,2026-07-16T10:15:31.956Z,7,7,6
SO1CO1,SO1,CO1,1,B1,B,b1,G2,0egzejn5mejtnfdm,bar_grouped,What is the difference between Scotland's largest value and England and Wales's smallest value?,12,False,26,No,True,0,The answer in the explaination is correct but the answer output by the system is wrong,124790,2026-07-16T10:15:31.956Z,6,7,6
SO1CO1,SO1,CO1,2,B3,D,b3,G4,2eiyyw562tcvjypp,line_multiple,How many years has Russia had higher favorability than the US?,3,False,2,No,True,0,"In 2009, Russia is below than US, so the answer should be 2?",136220,2026-07-16T10:15:31.956Z,3,4,4
SO1CO1,SO1,CO1,3,Ours,A,ours,G1,1k8qhmg9rui7gtzh,line_multiple,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,31,True,31,Yes,True,,,47604,2026-07-16T10:15:31.956Z,7,7,6
SO1CO1,SO1,CO1,4,B1,B,b1,G2,0jbrb1dcbliiampz,bar_simple,How many years had investments of over 22 Billion Euros in the years 2011 to 2014?,7,False,3,No,True,0,The explanation is correct the output answer is wrong,105933,2026-07-16T10:15:31.956Z,6,6,6
SO1CO1,SO1,CO1,5,Ours,A,ours,G1,16fif5hdi8yzml00,bar_grouped,What is the difference between average of maximum payment in all states and average of minimum payment in all states?,7.5,True,7.5,Yes,True,,,84963,2026-07-16T10:15:31.956Z,7,7,7
SO1CO1,SO1,CO1,6,B2,C,b2,G3,10gtgmmgh599jnr7,line_simple,What is the difference between the second largest and the smallest values between 2000 and 2008?,0.02,True,0.02,No,False,2,The difference should be 0.023 which is wrong in the explanation but the final output answer is still correct if rounded,110772,2026-07-16T10:15:31.956Z,5,6,5
SO1CO1,SO1,CO1,7,B3,D,b3,G4,10t8o5vhethzeod1,bar_stacked,In which year was the agriculture sector the highest,2017,False,2011,No,True,0,Industry and Service sector should be dim instead of Industry and Agriculture since we want to visualize which year was the agricultural sector the highest,103850,2026-07-16T10:15:31.956Z,2,2,3
SO1CO1,SO1,CO1,8,Ours,A,ours,G1,11e148qcs7x70t8v,bar_stacked,in which years does south korea have a bigger value than france?,"2015, 2016, 2017, 2018, Jan-Oct 2019",False,"2016, 2017, 2018, Jan-Oct 2019",No,True,1,"The explanation ignores the small value difference of france and south korea in 2015 where france actually is > south korea, which leads to a wrong explanation and answer. Answer should be 4, 2016, 2017, 2018, Jan-Oct 2019",114128,2026-07-16T10:15:31.956Z,2,2,2
SO1CO1,SO1,CO1,9,B1,B,b1,G2,66va2s35es5t86l3,line_simple,What is the year with the largest increase compared to the previous year?,2010,True,2010,Yes,True,,,92794,2026-07-16T10:15:31.956Z,6,6,3
