chart_type,chart_id,question,explanation
line_simple,2jromeq5u9lloh1s,Which years has the biggest jump?,Calculate the year-to-year change in Audience_Millions between each pair of consecutive years on the line. Compare these changes to find the largest increase. Select the later year of the pair with the maximum increase.
bar_stacked,13guplcbmfu1tjzu,Which country has the highest european factor?,Treat the European factor as the sum of the “Germany – exports” and “Italy – exports” segments in each country’s stacked bar. Add those two segment values for each country. Compare the resulting European-factor totals across countries. Select the country with the largest total.
bar_grouped,0q8vqyb35mbq0efx,Which year had the lowest amount of suicides of all ages combined?,Sum the four “Number of suicides” bars within each Year column to get a yearly total across all age groups. Compare these yearly totals across all years shown. Select the year with the smallest total.
bar_simple,0o12tngadmjjux2n,How many years are above the average?,Calculate the average of the “Production in million units” values across all years in the chart. Compare each year’s bar value to that average. Count the years whose production exceeds the average.
bar_stacked,10t8o5vhethzeod1,In which year was the agriculture sector the highest,Filter the chart to the bars colored for the Agriculture sector. Compare the Agriculture segment heights across all years. Select the year whose Agriculture segment reaches the greatest height.
line_simple,2o3fyauxv32p571i,Which year had the second-lowest value?,Sort the years by the Operating_Profit_Margin values from lowest to highest. Locate the entry in the second position of that ordered list. Read off the corresponding Year label.
bar_stacked,11e148qcs7x70t8v,in which years does south korea have a bigger value than france?,Locate the South Korea and France segments within each stacked bar for every Period. Read the Share_of_Import_Value for those two countries in each Period. Compare South Korea’s value to France’s value period by period. List the Periods where South Korea’s value is greater.
bar_simple,0s6zi9dyw22qo4rp,What is the difference between the average of September 1896 until December 1896 and the average of January 1897 until April 1897?,Select the four bars from September 1896 through December 1896 and compute their mean fatality rate. Select the four bars from January 1897 through April 1897 and compute their mean fatality rate. Subtract the earlier-period mean from the later-period mean.
line_simple,2ebtadc07b7bo277,Which year had the second lowest value?,Sort the points by the “Average price in US dollars” value in ascending order. Locate the point with the smallest value and move to the next point in that sorted order. Read the “Year” label for that second-from-bottom point.
bar_grouped,0prhtod4tli879nh,Which city had the biggest jump in population from 2010 to 2025?,Read the 2010 and 2025 bar heights for each city in the chart. Calculate the population change by subtracting the 2010 value from the 2025 value for every city. Compare these changes across cities. Select the city with the largest increase.
line_simple,2jki13q54zizc6i4,"If you compare the average value from july 2008 until june 2012 and july 2013 until june 2017, which value is higher?",Group the points into the four periods from Jul 2008–Jun 2009 through Jul 2011–Jun 2012 and the four periods from Jul 2013–Jun 2014 through Jul 2016–Jun 2017. Calculate the average Number of trucks within each group. Compare the two averages. Select the group with the larger average.
bar_simple,0pzdf7hfbxgjghsa,How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?,"Read the bar values for 2016, 2017, and 2018 from the chart. Subtract the 2016 value from the 2017 value to get the 2016→2017 change. Subtract the 2017 value from the 2018 value to get the 2017→2018 change. Compare the two changes by subtracting the smaller change from the larger."
bar_grouped,0rfuaawgi58ajpsv,What is the difference in the average between North America and Latin America?,Select the bars for North America across all years and calculate their average value. Select the bars for Latin America across all years and calculate their average value. Subtract the Latin America average from the North America average.
bar_grouped,0rdpculfpyw3bv5p,Which year shows the lowest gap between lending and investment?,Locate the Lending and Investment bars within each Year column. Calculate the absolute difference between those two values for each year. Compare the four gaps and select the year with the smallest difference.
bar_stacked,10x2rgiqw97wdspi,Which season was above average in both commercial and broadcasting?,Calculate the average Revenue_Million_Euros across all seasons for the Commercial revenue type. Compute the average Revenue_Million_Euros across all seasons for the Broadcasting revenue type. Compare each season’s Commercial value to the Commercial average and mark the seasons above it. Check those same seasons’ Broadcasting values against the Broadcasting average. Select the seasons that are above average in both revenue types.
bar_simple,0qz3v0bszsex7jjm,Which fiscal years' expenditures are below average?,Calculate the average of the “Expenditure in billion GBP” values across all fiscal years shown in the chart. Compare each fiscal year’s bar height to that average level. Select the fiscal years whose bars fall below the average. List those fiscal-year labels.
line_multiple,23wg8zio5ahp40tg,Which year had the biggest gap between favor and oppose?,Compute the absolute difference between the Oppose and Favor percentages for each year. Compare these year-by-year gaps across the chart. Select the year with the largest gap.
line_multiple,28bxxhd6omv2l2h1,What is the difference between the maximum and minimum gap between the two groups?,Compute the gap between the two region lines at each Year by subtracting Newfoundland and Labrador from Canada. Determine the maximum of these yearly gaps and the minimum of these yearly gaps. Subtract the minimum gap from the maximum gap.
line_multiple,29rxoltwhongoday,"In 2002 and 2017, which year shows the highest gap between two opinion?",Locate the two opinion values for 2002 on the chart. Subtract the Satisfied percentage from the Dissatisfied percentage to get the gap for 2002. Repeat the same subtraction for 2017. Compare the two gaps and select the year with the larger gap.
line_multiple,2eiyyw562tcvjypp,How many years has Russia had higher favorability than the US?,Pair the two country values for each year shown on the chart. Compare Russia’s favorability percentage to the US’s favorability percentage within each year. Count the years where Russia’s value is higher than the US’s.
bar_stacked,221xwpab655f7g8x,What is the difference between the youngest age group's population values in an earliest year and the oldest age group's population values in an latest year?,Locate the earliest year on the x-axis and read the value of the youngest age-group segment (0–14 years). Locate the latest year on the x-axis and read the value of the oldest age-group segment (65 years and older). Subtract the latest-year oldest-group value from the earliest-year youngest-group value.
bar_stacked,23an1hozb7myw4e2,Find the year when the share of men's apparel starts to decrease.,Read the men’s apparel segment value for each year in chronological order. Compare each year’s men’s share to the immediately previous year’s value. Select the first year where the men’s share is lower than the prior year.
line_multiple,4wqpl5jrdmc75go3,What is the average of direct and total content predicted in the future based on the present(2025)?,Treat “predicted in the future based on the present (2025)” as the year 2025 in the chart. Read the 2025 values for both Contribution_Type lines (Direct contribution and Total contribution). Calculate the mean of those two Economic_Impact_Billion_USD values.
line_simple,74p313e1n8rzkfzp,Find the a pair of age group with the largest difference between adjacent groups,Read the Share of respondents values for each age group in the chart’s left-to-right order. Calculate the absolute difference in Share of respondents for every pair of adjacent age groups. Compare these adjacent differences to find the maximum. Select the adjacent age-group pair associated with that maximum difference.
line_simple,7mgydgux0ay0flv4,What is the highest period of three years of average sales?,Compute a 3-year moving average by averaging “Number of units sold” for each consecutive 3-year window along the Year axis. Compare these window averages across all possible 3-year periods. Select the 3-year period with the largest average.
line_multiple,4pi1e6ev8e0zobww,Find the difference between the average of the first three years of the male group and the average of the last three years of the female group,Select the male values for the first three years shown on the chart and compute their average. Select the female values for the last three years shown on the chart and compute their average. Subtract the male average from the female average to get the difference.
bar_grouped,1gb8sqnptdsdvagz,Find a hair removal type with a share of 10% or more in the under 30s group,Filter the chart to the bars colored for the Under 30s age group. Check which of those bars reach at least 0.10 on the y-axis. Select one hair removal type whose Under 30s bar meets or exceeds that threshold.
line_multiple,4vcdm7lwwlgdd0h1,When was the year when the difference in wealth between the Senate and the House was the least?,Compute the absolute difference between the Senate and House Median_Wealth_Million_USD for each year. Compare these yearly gaps across the chart. Select the year with the smallest gap.
bar_grouped,1hm2mi3o0ejxp7tn,"Among untreated people, find the difference between the proportion of males and the proportion of females",Filter the chart to the untreated categories by selecting the bars for “Normotensive untreated” and “Hypertensive untreated.” Sum the male shares across those untreated bars and sum the female shares across those untreated bars. Subtract the female total from the male total to get the difference.
bar_stacked,240rurpp2arislnt,Find the difference between the response with the smallest percentage in the youngest group and the response with the highest percentage in the oldest group,Locate the youngest age-group bar (18–29) and read the smallest segment value among its response categories. Locate the oldest age-group bar (65+) and read the largest segment value among its response categories. Subtract the youngest-group minimum percentage from the oldest-group maximum percentage.
bar_stacked,2a8mliwolqqo6s5u,In what year is the smallest difference between the market size of Asia Pacific region and the remaining three regions?,Compute the combined market size of the three non–Asia Pacific regions for each year by summing their stacked segments. Calculate the absolute difference between that combined total and the Asia Pacific segment for the same year. Compare these yearly differences. Select the year with the smallest difference.
bar_simple,1a6pxfig1xf4oeu3,Find a period with a franchise value of $200 million or less,Scan the bars and note the years whose franchise value is at or below 200 million. Check for a contiguous run of such years on the x-axis. Select one continuous period that satisfies the condition.
bar_simple,1ashoniy42n3n5jr,Find the difference between the average revue with 2020 and the average revue with 2020 excluded,Calculate the average of the operating revenue values across all years including 2020. Compute the average again using only the years before 2020. Subtract the average excluding 2020 from the average including 2020.
line_multiple,4twwx65oath7vrkt,Find the year in which the value of exports was greater than the minimum value of imports.,Find the minimum Value_Trillion_USD among the Imports points across all years. Compare each Exports Value_Trillion_USD against that minimum-imports value. Select the year where the exports value is greater than that threshold.
bar_grouped,1ar60b8rke2d8e64,What year is the smallest difference between the two types?,Compute the absolute difference in Retention rate between the two Type bars within each Time Period group. Compare these gaps across all Time Periods. Select the Time Period with the minimum gap.
line_simple,7w9v4fsbg5ydxsr2,Find the difference between the average percentage of even and odd years,Split the years on the chart into even years and odd years. Average the percentage values for the even-year points and separately average the values for the odd-year points. Subtract the odd-year average from the even-year average to get the difference.
bar_simple,1a09xqtrj8zms716,What is the average value of top 3 malls' per sqaure foot cost?,Sort the bars by the “US dollars per square foot” value in descending order. Select the three highest-valued malls. Add their per-square-foot costs together. Divide the sum by 3 to get the average.
bar_simple,1bbe64wpvq06sknm,"For each fiscal year, find the difference between the corresponding year value and the overall average
",Sum the “Number of days in thousands” values across all fiscal years. Divide by the count of fiscal years to get the overall average. Subtract that average from each fiscal year’s value to obtain the per-year difference. Report the resulting differences for every fiscal year.
bar_grouped,16fif5hdi8yzml00,What is the difference between average of maximum payment in all states and average of minimum payment in all states?,Collect the bar heights for the Maximum type across all state panels and compute their average. Gather the bar heights for the Minimum type across all state panels and compute their average. Subtract the minimum-type average from the maximum-type average.
line_simple,827lhm2w7n652knp,Count all the years that change from increasing to decreasing,Compute the year-to-year change in the immigrants value for each adjacent pair of years. Mark each interval as increasing when the change is positive and decreasing when the change is negative. Scan the sequence of interval directions and count the years where an increasing interval is immediately followed by a decreasing interval.
bar_stacked,54gh54f24irr63pb,Which of the most recent year's Party_advantage values has the largest Party_Advantage value of all years?,Treat the most recent year as the largest value on the Year axis. List that year’s Party_Advantage categories from the stacked bar. Compare each of those categories’ Number_of_States values against the same Party_Advantage category in every other year. Select the category whose overall maximum Number_of_States is greatest among those candidates.
bar_grouped,1p6uue3hxdxit3ey,Which of the responses of people who are 30 to 44 years old have a higher value compared to those who are yes and no?,Focus on the 30 to 44 years old bars across the three Response columns. Note the values for the Yes and No responses in that age group. Compare the remaining response’s value against both of those two values. Select any response that exceeds both benchmarks.
bar_simple,1fngt6cb1d60a2ow,"Does the value of all regions except Metro Total exceed 50,000?","Exclude the bar labeled Metro Total from consideration. Sum the Number of employees values for all remaining regions. Compare that sum to 50,000 to determine whether it is greater."
line_multiple,6rvtt4egfl5nmyue,If you find the second largest year in value when you sort the values from 2012 to 2017 in descending order when the gender is female?,Filter the chart to the female series and the years 2012 through 2017. Sort those years by the life-expectancy values in descending order. Select the year in the second position of that sorted list.
bar_grouped,1suppecte0dm69gm,Is the average of Men's Not at all and Women's Not at all greater than All Results' Not at all?,Read the “Not at all” bar values for Men and Women from the chart. Calculate their average. Compare that average to the “Not at all” bar value for All adults. Determine whether the average is greater.
bar_simple,1e56qqj7moat9gqa,What is the value of Spending in Billion US Dollars if you find it and add it?,Read the Spending in billion US dollars value for each bar in the chart. Sum the five values across all Fiscal Year & Status categories. Report the resulting total.
line_multiple,6p4fnscalopvysnn,What is the highest value of all year values above 40?,Filter the chart to the points where the “Share of the population” value is greater than 40. Compare the remaining values across all regions and years. Select the maximum among those filtered values.
bar_stacked,50y71e5i2n28gkbx,What is the average of Sportswear and Running in 2017 and 2018 combined?,Select the Sportswear and Running segments for the years 2017 and 2018 on the chart. Add the four Revenue_Million_USD values together. Divide the total by 4 to get the combined average.
bar_stacked,75yz7pci1w1dif3g,Which of the total Age_Group has the third largest difference between none of these values in terms of cheese and onion values 18–24?,Read the Cheese and onion share for the 18–24 age group from the chart. Subtract that value from the Cheese and onion share for each age group to get an absolute difference. Sort the age groups by this difference from largest to smallest. Select the age group in the third position of that ordering.
line_multiple,7extlfw651gqc5fk,Is the difference between the maximum value of having a large role and the minimum value of having a small role in the entire year equal to the average value of all values in the entire year?,Find the maximum Percentage among the points where Role is Large. Get the minimum Percentage among the points where Role is Small. Subtract the small-role minimum from the large-role maximum to obtain the difference. Average the Percentage values across all points in the chart. Compare the computed difference with that overall average.
line_multiple,6rqevjp16hadlyly,Is the difference between the values of 2007/08 and 2011/12 the same for men and women?,Read the male percentages at 2007/08 and 2011/12 and calculate their difference. Read the female percentages at 2007/08 and 2011/12 and calculate their difference. Compare the two differences to see whether they match.
bar_simple,1esx2fbduhqn7knk,What is the average of the remaining values except for the maximum and minimum values?,Read the Deaths values for all disease categories from the chart. Determine the maximum and minimum Deaths values and exclude those two categories. Sum the remaining Deaths values and divide by the count of remaining categories to get the average.
bar_simple,1epzpacytv3wx2i6,Are the values from 2010 to 2013 going up?,Focus on the bars for the years 2010 through 2013. Compare each year’s bar height to the previous year’s bar height. Confirm that each successive bar is taller than the one before it.
bar_grouped,1qm2z3ooawf339jz,"Which of the total responses is greater when comparing the value of East with the value of Scotland?
",Locate the bars for East and Scotland within each Response Category panel. Read the Share of respondents values for East across all four categories and sum them. Read the Share of respondents values for Scotland across all four categories and sum them. Compare the two totals and select the larger one.
line_simple,95yhyqjyeu4fohbj,Is the average of the minimum and maximum values greater compared to the value in 2010?,Find the minimum and maximum values on the chart across all years. Calculate their average by adding them and dividing by two. Read the chart value at year 2010. Compare the min–max average to the 2010 value to determine whether it is greater.
bar_stacked,62w3xg16iivw11et,Is the average of the 2010s industry values the same as the Services average?,Treat the 2010s as the years 2010 through 2019 inclusive. Average the Industry Share_of_GDP values across those ten years. Average the Services Share_of_GDP values across the same ten years. Compare the two averages to see whether they match.
line_simple,95wcyze391ifhegp,What is the average of the highest and lowest values in the entire year?,Locate the maximum exchange-rate value on the chart across all years. Locate the minimum exchange-rate value on the chart across all years. Add these two extreme values and divide by two to get their average.
line_simple,9douccar3m9ruah4,Is the average of Men's Not at all and Women's Not at all greater than All Results' Not at all?,Locate the “Not at all” values for Men and for Women on the chart. Calculate the average of those two “Not at all” values. Compare that average to the “Not at all” value for All Results. Determine whether the average exceeds the All Results value.
line_simple,9mlpjn6pddrbthj8,"When the values for the entire year are sorted in ascending order, is the third value greater than the average of the values added in 2011 and 2012?",Sort the chart’s “Number of fatalities” values from smallest to largest and pick the third entry. Calculate the average of the “Number of fatalities” values at years 2011 and 2012. Compare the third sorted value to that two-year average to determine whether it is greater.
bar_grouped,1x37jzohqd666qc0,"Is the average value of ""Don't know/no opinion"" in all categories equal to the difference between ""Very unlikely"" in ""Family"" and ""Very unlikely"" in ""Local community"" plus the difference between ""Somewhat unlikely"" in ""Family"" and ""Local community""?",Extract the “Don’t know/no opinion” percentages for all three categories and calculate their average. Get the “Very unlikely” percentages for Family and Local community and compute their difference. Compute the difference between the “Somewhat unlikely” percentages for Family and Local community. Add the two differences and compare that sum to the earlier average.
line_simple,b8um9hhxelrqowd9,Is the value in 2010 bigger than the average?,"Calculate the average of the ""Number of inhabitants (in millions)"" values across all years shown in the chart. Locate the 2010 point and read its value from the chart. Compare the 2010 value to the computed overall average to determine whether it is larger."
line_multiple,c41fny6w7gwpawbn,When is the year that has the lowest difference between two opinions?,Compute the absolute difference between the Percentage values for Confidence and No confidence for each Year. Compare these gaps across all years. Select the year with the smallest gap.
bar_grouped,263367gingx3k5hu,What is the Sum of the increases between the two terms for Asian countries (excluding the Middle East)?,Treat the two terms as the two years shown for each region. Filter the chart to Asian regions and exclude the “Others (including Middle East and other DRI)” region. Subtract the 2011 bar value from the 2017 bar value for each remaining Asian region. Sum those regional increases.
