chart_id,chart_type,ours_correct,baseline_correct,true_answer,gold_looks_wrong,note
2jromeq5u9lloh1s,line_simple,1,1,,0,
13guplcbmfu1tjzu,bar_stacked,0,0,"Hungary (European factor = Germany exports 0.004 + Italy exports 0.069 = 0.073, highest of the four countries)",0,"Answer is country ""Hungary""; ours grouped by Factor not Country and returned scalar 0.562, not a country name, so it never identifies the answer."
0q8vqyb35mbq0efx,bar_grouped,0,0,"2015 (yearly total 731, the lowest across all age groups combined)",0,Both summed all rows into grand total 9347 instead of per-year sums; correct answer is year 2015 (total 731).
0o12tngadmjjux2n,bar_simple,0,1,9 years are above the average (avg = 2.7825),0,Avg=2.7825; 9 years exceed it; baseline count=9 correct; ours empty; gold returns rows (no count reduction) but value=null so not wrong.
10t8o5vhethzeod1,bar_stacked,1,1,,0,
2o3fyauxv32p571i,line_simple,1,1,,0,
11e148qcs7x70t8v,bar_stacked,1,1,"2016, 2017, 2018, and Jan-Oct 2019 (the periods where South Korea > France)",0,"""Which years"" list question; pairDiff(SK-France) then filter>0 yields rows for 2016/2017/2018/Jan-Oct2019 — ours, baseline, and gold all use this logic correctly."
0s6zi9dyw22qo4rp,bar_simple,1,1,,0,
2ebtadc07b7bo277,line_simple,0,0,2016 (value 3.74),0,"Second lowest price is 3.74 (2016); gold correct, ours and baseline both returned 2011/4.88."
0prhtod4tli879nh,bar_grouped,0,0,"Delhi, with a jump of 6.4 million (28.6 - 22.2)",0,"Max jump is Delhi 6.4; gold correct, but ours and baseline both returned 5.6 (Karachi's diff), the wrong extremum."
2jki13q54zizc6i4,line_simple,1,1,,0,
0pzdf7hfbxgjghsa,bar_simple,1,1,,0,
0rfuaawgi58ajpsv,bar_grouped,1,1,,0,
0rdpculfpyw3bv5p,bar_grouped,1,1,,0,
10x2rgiqw97wdspi,bar_stacked,0,0,"2015/16, 2016/17, 2017/18, 2018/19, 2019/20 (Commercial avg ~257.8, Broadcasting avg ~211.95; these 5 seasons exceed both)",0,"Answer is 5 seasons; ours only computed two averages (NaN scalar), baseline returned empty—neither produced the season list."
0qz3v0bszsex7jjm,bar_simple,1,1,"Average ≈ 3.447; below-average fiscal years (11): 00/01, 01/02, 02/03, 03/04, 04/05, 05/06, 06/07, 07/08, 08/09, 10/11, 12/13",0,"Both ours and baseline filter Expenditure < average, returning the correct 11 below-average fiscal-year rows; baseline's extra diffByValue step is harmless."
23wg8zio5ahp40tg,line_multiple,1,1,,0,
28bxxhd6omv2l2h1,line_multiple,1,1,,0,
29rxoltwhongoday,line_multiple,0,1,"2017 (gap 72 = |85-13|, vs 2002 gap 63 = |79-16|)",0,"2017 gap 72 > 2002 gap 63; baseline compareBool n6(72)>n3(63)=true→2017 correct; ours compares filter nodes n1/n3 not diffs, returns 0.0 wrong."
2eiyyw562tcvjypp,line_multiple,0,0,,0,
1h4rj9i2jtzq589y,line_multiple,0,0,"2014 (EU 5-country median value 54; points in 51-61 are 2012=60, 2013=58, 2014=54, most recent is 2014)",0,"True answer is 2014 (54); ours and baseline both returned 2016 (50), wrong; gold's 2014/54 is correct."
0gf8ugj84bs1ko2k,bar_stacked,0,0,"1319 (in 2022, max Data Centers year: (1848+564+1545)/3 = 3957/3 = 1319)",0,"Max Data Centers in 2022; avg of 1848/564/1545 = 1319; ours=616 (sum failed, = 1848/3) and baseline=1848 (max only) both wrong; gold absent."
14jt6jor7iknkjkl,line_multiple,0,0,56 (min Favorable view = 71 at 2009; Confidence in US president for 2009 = 56; sum over single year = 56),0,True answer 56; ours returned 0 (sum op lacks year filter and reports 0); baseline produced no spec; gold absent.
16aphfabldrpgcmd,line_multiple,1,1,,0,
0dglnk2wbf5ll15t,bar_stacked,0,1,48.25 (Good avg 51.5 - Poor avg 3.25),0,"Poor avg=3.25, Good avg=51.5, diff=48.25; ours value is NaN (wrong), baseline & gold both 48.25."
10gtgmmgh599jnr7,line_simple,0,0,"0.023 (second-largest 0.109 minus smallest 0.086, years 2000-2008)",0,"True diff=0.023; gold=0.023 correct; ours empty (no_spec); baseline=0.002 wrong (its nth picked 2nd-smallest minus smallest, not second-largest)."
0ix8hz9qvakto18g,line_simple,0,0,4035 (2019 + 2016),0,"Second-largest-score year=2019, second-smallest-score year=2016, sum=4035; both systems returned 157.66 (summed scores not years), wrong."
0egdxqun1m2n9k4z,bar_simple,1,1,,0,
0aj7na7tkqb7iomu,bar_stacked,1,1,,0,
0gvrmm8qbn6o1vya,bar_simple,0,1,"53.405 (average of 6 seasons with ticket price <= 60: 52.49,57,54.5,53.5,51.47,51.47 = 320.43/6)",0,Ours returns count=6 (__count__) instead of the average; baseline and gold both yield 53.405.
0egzejn5mejtnfdm,bar_grouped,0,1,26 (Scotland max 28 minus England & Wales min 2),0,"Scotland max=28, E&W min=2, diff=26; ours returned NaN (broken extremum chaining), baseline and gold both 26."
0roec4s0drcyiuz4,line_simple,0,0,"9.5167 (average of the longest strictly-decreasing run Q1 2019..Q2 2020: 10.4,10,9.6,9.5,9.2,8.4 → 57.1/6)",1,"Longest decreasing run is 6 quarters (avg 9.5167); ours returned count 3.0; baseline & gold both returned 9.4333 (only the 3-quarter sub-window, ignoring mode:longest)."
0eq4w2wsl864mhcj,bar_simple,0,1,"84.1133 (avg of 102.55, 77.56, 72.23 = 252.34/3)",0,"Ours final value is the count (3.0), not the average (84.11); baseline and gold both give 84.1133."
0g0xma0b0k29lk5j,bar_stacked,0,0,2010 (second-largest 15–64 vs 65+ difference = 0.5976; largest is 2009 = 0.6005; diffs decrease monotonically 2009→2019),0,"Answer is 2010; gold correct; ours picked 2018 (second-smallest, wrong end of sort); baseline executed to empty/null."
0fhm43s0j7glca29,bar_grouped,1,0,"2020 (2018 average = 2.1575 < 2020 max = 3.56, so the larger quantity belongs to year 2020)",0,"2018 avg 2.1575 < 2020 max 3.56 → answer 2020; ours' compareBool=false correctly implies 2020, baseline's appended retrieveValues yield empty/null final."
0gacqohbzj07n25s,bar_grouped,0,1,8176 (European surgical avg 323891 − Asian surgical avg 332067 = −8176; abs 8176),0,"Ours wired both averages to the same European filter (inputs n1,n1) → diff 0; baseline -8176 is correct by sign convention."
1c80b6i7wdu3m1ir,line_simple,0,0,"10.5 (run 1999-2001, greatest total rise 3.5; sum 1.7+3.6+5.2). Longest-run interpretation gives 15.4 (run 2004-2008).",0,"Ours/baseline both returned 0.1 (summed lagDiff values, not y-values) — wrong; gold's 15.4 is the longest increasing run (2004-2008), a defensible reading of the question's ambiguity."
1k8qhmg9rui7gtzh,line_multiple,1,1,,0,
0ihx2vzdsej883sq,bar_grouped,0,0,"0.733 (Male share for Leadership, the category with the second-lowest Female share)",1,"Sorted Female asc: Tech .236, Leadership .267, Overall .32, Non-tech .474; 2nd-lowest=Leadership so Male=0.733; gold & baseline return 0.267 (the Female value, not Male), ours is empty."
0fh0emp095qhq3ag,bar_simple,1,1,,0,
0k75gqf8ckjikdym,bar_grouped,1,1,,0,
1p4nnba4568wza9n,line_multiple,0,0,2,0,"Dominant opinion sequence Good,Good,Bad,Bad,Good...Good changes twice; ours=10 and baseline=0 both wrong; gold absent."
0gzowodb2py0d1s9,bar_stacked,1,1,,0,
0nmj7sdej4cipma7,bar_stacked,1,1,,0,
0i9bxppwocx0tyop,bar_simple,1,1,,0,
