chart_id,chart_type,question,explanation,operation_spec,status,updated_at
2jromeq5u9lloh1s,line_simple,Which years has the biggest jump?,"1. Get the difference between every year
2. Get the extremum ","{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Audience_Millions"", ""order"": ""asc""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Audience_Millions"", ""which"": ""max""}]}",pending,2026-06-30T03:16:50.859Z
2o3fyauxv32p571i,line_simple,Which year had the second-lowest value?,"1. Sort  in ascending order by year
2. find the second lowest","{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Operating_Profit_Margin"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Operating_Profit_Margin"", ""n"": 2, ""from"": ""left""}]}",pending,2026-06-30T03:16:53.115Z
2ebtadc07b7bo277,line_simple,Which year had the second lowest value?,"1. sort the values from lowest to highest
2. find the second lowest ","{""ops"": [{""op"": ""sort"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average price in US dollars"", ""order"": ""asc""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""orderField"": ""Year"", ""n"": 2, ""from"": ""left""}]}",pending,2026-06-30T03:16:55.312Z
2jki13q54zizc6i4,line_simple,"If you compare the average value from july 2008 until june 2012 and july 2013 until june 2017, which value is higher?","1. get the average from july 2008 until june 2012
2. get the average from july 2013 until june 2017
3. compare 
4. find extremum","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Period"", ""operator"": ""between"", ""value"": [""Jul 2008 - Jun 2009"", ""Jul 2011 - Jun 2012""]}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Number of trucks""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Period"", ""operator"": ""between"", ""value"": [""Jul 2013 - Jun 2014"", ""Jul 2016 - Jun 2017""]}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Number of trucks""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""operator"": "">""}], ""ops4"": [{""op"": ""findExtremum"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 4}, ""field"": ""Number of trucks"", ""which"": ""max""}]}",pending,2026-06-30T03:16:59.475Z
0ix8hz9qvakto18g,line_simple,What is the sum of the year when the Ease of Doing Business score is the second largest and the year when the Ease of Doing Business score is the second smallest?,"1. Check the top of the graph
2. Then check the value of the dot above
3. Check the bottom of the graph
4. Compare each of the bottom three point values
5. Check the smallest value and check the Year
6. Add values of 2 and 5","{""ops"": [{""op"": ""findExtremum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Ease of doing business score"", ""which"": ""max"", ""rank"": 2}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Ease of doing business score"", ""order"": ""desc"", ""orderField"": ""Year"", ""n"": 2, ""from"": ""left""}], ""ops3"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 3}, ""field"": ""Ease of doing business score"", ""which"": ""min"", ""rank"": 2}], ""ops4"": [{""op"": ""nth"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [], ""sentenceIndex"": 4}, ""field"": ""Ease of doing business score"", ""order"": ""asc"", ""orderField"": ""Year"", ""n"": 2, ""from"": ""left""}], ""ops5"": [{""op"": ""findExtremum"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [], ""sentenceIndex"": 5}, ""field"": ""Ease of doing business score"", ""which"": ""min"", ""rank"": 1}], ""ops6"": [{""op"": ""add"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n2"", ""n5""], ""sentenceIndex"": 6}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n5"", ""field"": ""Ease of doing business score""}]}",pending,2026-06-30T03:17:04.241Z
0roec4s0drcyiuz4,line_simple,"What is the average of the values in the period in which the Unemployment rate value falls for more than two years?
","1. Check for sections where prices have fallen for more than two years
2. Check all values for each year from Quarter obtained by 1
3. Finds the average of the values obtained in number 2 ","{""ops"": [{""op"": ""monotonicRun"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""direction"": ""decreasing"", ""mode"": ""all"", ""minLength"": 3, ""field"": ""Unemployment rate (%)"", ""orderField"": ""Quarter""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Quarter"", ""operator"": ""between"", ""value"": [""Q1 2019"", ""Q2 2020""], ""xKindHint"": ""ordinal""}], ""ops3"": [{""op"": ""average"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Unemployment rate (%)""}]}",pending,2026-06-30T03:17:07.515Z
1c80b6i7wdu3m1ir,line_simple,What is the sum of the y-values ​​for the period in which the y-axis value increased most sharply for two or more consecutive years?,"1. Identify lines that trend upward for two or more years.
2. Find the difference between the starting and ending values.
3. Identify the line with the largest value.
4. Add all values ​​corresponding to number 3.","{""ops"": [{""op"": ""monotonicRun"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""direction"": ""increasing"", ""mode"": ""all"", ""minLength"": 2, ""field"": ""Year on yaer percentage change (%)"", ""orderField"": ""Year""}], ""ops2"": [{""op"": ""diffByValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""targetValue"": ""ref:n1"", ""field"": ""Year on yaer percentage change (%)"", ""signed"": true}], ""ops3"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Year on yaer percentage change (%)"", ""which"": ""max""}], ""ops4"": [{""op"": ""sum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 4}, ""field"": ""Year on yaer percentage change (%)"", ""group"": ""ref:n3""}]}",pending,2026-06-30T03:17:11.345Z
1sf5c8wqw1192q6b,line_simple,How many dates was the growth rate below the average?,"1. calculate average growth rate
2. filter for the date for which the growth rate was below the average
3. count the number of filtered dates ","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Growth rate of HICP (%)""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Growth rate of HICP (%)"", ""operator"": ""<"", ""value"": ""ref:n1""}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Growth rate of HICP (%)""}]}",pending,2026-06-30T03:17:13.939Z
1vni31fp2ii7wz68,line_simple,Which year showed the highest drop?,"1. calculate the difference for each year,
2. find the minimum value","{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number in millions"", ""order"": ""asc""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number in millions"", ""which"": ""min""}]}",pending,2026-06-30T03:17:16.061Z
25gpdzxh8nu0c0vf,line_simple,"In average and median values, which one is bigger?","1. calculate the average
2. calculate the median
3. compare which one is bigger","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number_of_Fatalities""}], ""ops2"": [{""op"": ""nth"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Number_of_Fatalities"", ""order"": ""asc"", ""n"": 10, ""from"": ""left""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""operator"": "">""}]}",pending,2026-06-30T03:17:18.679Z
