chart_type,operation,runner_status,auto_draw_status,current_visual_strategy,current_stage_order,current_state_effect,primary_source_file,implementation_gap,researcher_rule_note
simple-bar,retrieveValue,yes,yes,"forward(x): highlight target bars + value text; reverse(y, targetAxis='y'): horizontal guideline at y=target + bar highlight + category text",highlight -> text,lastResult only,src/operation-new/appliers/simpleBar/retrieveValue.ts,,supports targetAxis 'x' | 'y'
simple-bar,filter,yes,yes,apply filter context + emphasize retained scope,filter context -> salience -> annotation,updates workingData + filterContext + salienceMap,src/operation-next/runners/simpleBar.ts,,
simple-bar,findExtremum,yes,yes,highlight extrema bars + draw value text,highlight -> text,lastResult only; may use derivedData via dependency state,src/operation-next/runners/simpleBar.ts,,
simple-bar,compareBool,no,yes,auto-draw can build binary comparison rail/bracket but runner currently skips it,highlight -> rail -> bracket/text,none because runner skips,src/rendering/ops/visual/bar/simple/simpleBarAutoDrawPlanBuilder.ts,runner not wired,
simple-bar,diffByValue,yes,no,draw reference/value comparison annotation from runner,reference line -> delta text,lastResult only,src/operation-next/runners/simpleBar.ts,auto-draw inventory missing,
simple-bar,sort,yes,yes,clear transient drawings + reorder bars,clear -> sort,lastResult only,src/operation-next/runners/simpleBar.ts,,
simple-bar,sum,no,yes,auto-draw can draw structural sum annotation but runner currently skips it,single stage,none because runner skips,src/rendering/ops/visual/bar/simple/simpleBarAutoDrawPlanBuilder.ts,runner not wired,
simple-bar,average,yes,yes,draw average line + average text,line -> text,lastResult + annotationRecords,src/operation-next/runners/simpleBar.ts,,
simple-bar,diff,yes,yes,draw binary comparison rail/bracket + delta text,highlight -> rail -> bracket/text,lastResult + annotationRecords,src/operation-next/runners/simpleBar.ts,,
simple-bar,lagDiff,no,yes,auto-draw can connect adjacent bars + delta text but runner currently skips it,highlight -> connector/text,none because runner skips,src/rendering/ops/visual/bar/simple/simpleBarAutoDrawPlanBuilder.ts,runner not wired,
