"#","chart_type","chart_id","all_id","question","explanation","operation_spec","computed_answer"
"49",simpleLine,"1sf5c8wqw1192q6b","line_simple_1sf5c8wqw1192q6b","How many dates was the growth rate below the average?","1. calculate average growth rate
2. filter for the date for which the growth rate was below the average
3. count the number of filtered dates ","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Growth rate of HICP (%)""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Growth rate of HICP (%)"",""operator"":""<"",""value"":""ref:n1""}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}","5.0"
"102",simpleLine,"72yqb8jwj9a6g4nx","line_simple_72yqb8jwj9a6g4nx","What is the difference between the average from 2011 and the average up to 2010?","1. Calculate the average from 2011 to 2015.
2. Calculate the average from 2005 to 2010.
3. Calculate the difference.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""<="",""value"":""2010""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Percentage of internet users""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""operator"":"">="",""value"":""2011""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Percentage of internet users""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n4"",""targetB"":""ref:n2"",""signed"":false}]}","39.0"
"69",simpleLine,"0gr1c2jcthc8h9f6","line_simple_0gr1c2jcthc8h9f6","What is the difference between a value for a year with a score value between 6.2 and 5.8 and a value for a year with a score value below 4.8?","Find values for years with values between 6.2 and 5.8.
Find the value of the year with the value below 4.8.
Find the difference between the two values.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Risk index score"",""operator"":"">="",""value"":5.8},{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Risk index score"",""operator"":""<="",""value"":6.2},{""op"":""findExtremum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":1},""which"":""max"",""field"":""Risk index score""}],""ops2"":[{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""field"":""Risk index score"",""operator"":""<"",""value"":4.8},{""op"":""findExtremum"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":2},""which"":""max"",""field"":""Risk index score""}],""ops3"":[{""op"":""diff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n3"",""n5""],""sentenceIndex"":3},""targetA"":""ref:n3"",""targetB"":""ref:n5"",""signed"":false}]}","1.42"
"65",simpleLine,"04xwv56n37ybj8zr","line_simple_04xwv56n37ybj8zr","What is the difference between the third most index scores and the fifth most index scores?","List the index scores of each year in descending order.
Find the third highest value and the fifth highest value among them.
Find the difference between the two values.
","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Index_Score"",""order"":""desc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":3},{""op"":""nth"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":5}],""ops3"":[{""op"":""diff"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n2"",""n3""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n3"",""signed"":false}]}","0.02"
"108",multipleLine,"4p1m4tsmzmtvsrys","line_multiple_4p1m4tsmzmtvsrys","What is the difference between the days when Obama is higher than Romney and the days when Romney is higher than Obama?","1. Calculate the difference for each date.
2. Count where Obama is higher than Romney.
3. Count where Romney is higher than Obama.
4. Calculate the difference.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Date_Range"",""groupA"":""Obama"",""groupB"":""Romney"",""seriesField"":""Candidate"",""field"":""Share_of_Respondents"",""signed"":true}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":"">"",""value"":0},{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":2}}],""ops3"":[{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n1""],""sentenceIndex"":3},""operator"":""<"",""value"":0},{""op"":""count"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":3}}],""ops4"":[{""op"":""diff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n3"",""n5""],""sentenceIndex"":4},""targetA"":""ref:n3"",""targetB"":""ref:n5"",""signed"":false}]}","11.0"
"115",multipleLine,"3z678inbp0t89ahu","line_multiple_3z678inbp0t89ahu","In how many years was the difference between Disatisfied and Satisfied less than the difference between their means?","1. Calculate the average of Dissatisfied.
2. Calculate the average of Satisfied.
3. Calculate the difference between the two values.
4. Calculate the difference for each year. (PairDiffOp)
5. Count all years that have a lower difference than the difference between the averages.","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Percentage_of_Respondents"",""group"":""Dissatisfied""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""field"":""Percentage_of_Respondents"",""group"":""Satisfied""}],""ops2"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":2},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}],""ops3"":[{""op"":""pairDiff"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":3},""by"":""Year"",""groupA"":""Dissatisfied"",""groupB"":""Satisfied"",""seriesField"":""Opinion"",""field"":""Percentage_of_Respondents"",""absolute"":true}],""ops4"":[{""op"":""filter"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4"",""n3""],""sentenceIndex"":4},""field"":""Percentage_of_Respondents"",""operator"":""<"",""value"":""ref:n3""},{""op"":""count"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n5""],""sentenceIndex"":5}}]}","5.0"
"38",multipleLine,"1k8qhmg9rui7gtzh","line_multiple_1k8qhmg9rui7gtzh","What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?","1. Find the largest value in Germany between 2010 and 2015.
2. Find the smallest value in the U.S. between 2010 and 2015.
3. Subtract value 2 from value 1.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2010"",""2015""]}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""field"":""Favorable_View_Percentage"",""group"":""Germany""}],""ops3"":[{""op"":""findExtremum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":3},""which"":""min"",""field"":""Favorable_View_Percentage"",""group"":""US""}],""ops4"":[{""op"":""diff"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n2"",""n3""],""sentenceIndex"":4},""targetA"":""ref:n2"",""targetB"":""ref:n3"",""signed"":false}]}","31.0"
"208",multipleLine,"cby91tt3tvahsmuj","line_multiple_cby91tt3tvahsmuj","Is the difference between the parties in 2012 bigger than the average of the differences of all years?","1. Calculate the difference for each year
2. Calculate the average of the difference from the previous step.
3. Compare the values between the difference in 2012 and the average difference.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""Dem/Lean Dem"",""groupB"":""Rep/Lean Rep"",""seriesField"":""Party"",""field"":""Percentage"",""absolute"":true}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Percentage""}],""ops3"":[{""op"":""retrieveValue"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":3},""target"":""2012"",""field"":""Percentage""}],""ops4"":[{""op"":""compareBool"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3"",""n2""],""sentenceIndex"":4},""operator"":"">"",""targetA"":""ref:n3"",""targetB"":""ref:n2""}]}","0.0"
"12",simpleBar,"0pzdf7hfbxgjghsa","bar_simple_0pzdf7hfbxgjghsa","How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?","1. retrieve value of 2016 and 2017
2. retrieve value of 2017 and 2018
3. get the difference of the retrieved values","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""2016""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""target"":""2017""},{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":1},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}],""ops2"":[{""op"":""retrieveValue"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""target"":""2017""},{""op"":""retrieveValue"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[],""sentenceIndex"":2},""target"":""2018""},{""op"":""diff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n4"",""n5""],""sentenceIndex"":2},""targetA"":""ref:n4"",""targetB"":""ref:n5"",""signed"":false}],""ops3"":[{""op"":""diff"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n3"",""n6""],""sentenceIndex"":3},""targetA"":""ref:n3"",""targetB"":""ref:n6"",""signed"":false}]}","1.17"
"113",simpleBar,"0w88bu7qm4ilsqmh","bar_simple_0w88bu7qm4ilsqmh","What is the difference between the average of before 2000 and from 2010?","1. Find the average of the values for 1995 and 1999.
2. Find the average of the values for 2010, 2013, and 2017.
3. Calculate the difference between the two averages.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""<"",""value"":""2000""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Installed base in million units""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""operator"":"">="",""value"":""2010""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Installed base in million units""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}","55.0"
