chart_type,id,original_T,question,explanation,supported_operation_sequence,why_selected,scope_note,spec
simple-bar,0fh0emp095qhq3ag,barsimple,What is the difference between the largest and smallest values between 2010 and 2019?,"1. Look at the values from 2010 through 2019.
2. The largest number of victims in that range is 491 (in 2010) and the smallest is 264 (in 2016).
3. Subtract the smallest from the largest to get the difference, which is 228.",filter -> findExtremum(max) -> findExtremum(min) -> diff,"Uses temporal filtering, two extrema, and a final difference; all are supported in the simple-bar runner.",Good case for testing filtered-scope extrema before diff.,"{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2010"",""2019""],""xKindHint"":""temporal""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Number of victims"",""which"":""max""},{""op"":""findExtremum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Number of victims"",""which"":""min""}],""ops3"":[{""op"":""diff"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n2"",""n3""],""sentenceIndex"":3},""field"":""Number of victims"",""targetA"":""ref:n2"",""targetB"":""ref:n3"",""signed"":true}]}"
simple-bar,0xnim79vztf8hjor,barsimple,Which year shows the highest difference from the average?,"1. First, compute the overall average of the ticket prices across all listed fiscal years.
2. Then, for each year, calculate how far its ticket price is from that average (using the absolute difference).
3. Comparing these differences shows that 05/06 (44.08) is farthest from the overall average (about 47.62), making it the year with the highest difference from the average.",average -> diff -> findExtremum,"Uses a derived average as a reference, then searches for the largest deviation; simple-bar supports average, diff, and findExtremum.",Useful for deciding whether diff-derived values should become the next extrema target.,"{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Average ticket price in US dollars""}],""ops2"":[{""op"":""diffByValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""targetValue"":""ref:n1"",""field"":""Average ticket price in US dollars"",""signed"":false}]}"
simple-bar,1ashoniy42n3n5jr,barsimple,Find the difference between the average revue with 2020 and the average revue with 2020 excluded,"1. First compute the average operating revenue using all years including 2020 (2013–2020).
2. Then compute the average again using only 2013–2019 (excluding 2020).
3. Finally, subtract the “excluding 2020” average from the “including 2020” average; because 2020 is much lower than the other years, the average with 2020 included is lower, giving a difference of about -340 million NOK.",filter -> average -> filter -> average -> diff,Uses two scoped averages and compares them; all operations are supported in simple-bar.,Typo in source question: revue probably means revenue.,"{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020""]},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Operating revenue in m million NOK""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""include"":[""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019""]},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Operating revenue in m million NOK""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""field"":""Operating revenue in m million NOK"",""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":true}]}"
stacked-bar,004fhteah0l9kud2,barstacked,What is the difference between the average of Commercial and the average of Matchday?,"1. Take the Commercial revenues across all seasons and compute their average, then take the Matchday revenues across all seasons and compute their average.
2. The Commercial average is 1399.0 million euros and the Matchday average is 513.5 million euros.
3. Subtract the Matchday average from the Commercial average to get a difference of 885.5 million euros.",filter(group=Commercial) -> average -> filter(group=Matchday) -> average -> diff,"Stacked-bar runner supports filter, average, and diff; the question is a clear two-series aggregate comparison.",Good representative case for group-specific aggregation in stacked bars.,"{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Revenue_Million_Euros"",""group"":""Commercial""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""field"":""Revenue_Million_Euros"",""group"":""Matchday""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""field"":""Revenue_Million_Euros"",""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":true}]}"
stacked-bar,10x2rgiqw97wdspi,barstacked,Which season was above average in both commercial and broadcasting?,"1. First, compute the average revenue across all seasons for the Commercial category and separately for the Broadcasting category.
2. Then, for each season, compare its Commercial value to the Commercial average and its Broadcasting value to the Broadcasting average.
3. Select the seasons where both values are above their respective averages; these are 2016/17, 2017/18, and 2018/19.",filter(group=Commercial) -> average -> filter(group=Broadcasting) -> average -> filter,Combines two group averages with a final retained-year filter; uses only supported stacked-bar operations.,Good case for multi-condition filtering after aggregate references.,"{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Revenue_Million_Euros"",""group"":""Commercial""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""field"":""Revenue_Million_Euros"",""group"":""Broadcasting""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Season"",""include"":[""2016/17"",""2017/18"",""2018/19""]}]}"
grouped-bar,0gacqohbzj07n25s,bargrouped,What is the difference between the average of surgical values in European countries and the average of surgical values in Asian countries?,"1. Identify the European countries in the data (Germany, France, Italy, Russia) and take their surgical counts, then compute their average.
2. Identify the Asian countries (India, Turkey, Japan) and compute the average of their surgical counts.
3. Subtract the Asian average from the European average to get the difference.",filter(region=Europe) -> average -> filter(region=Asia) -> average -> diff,"Grouped-bar runner supports filter, average, and diff; this is a clean cross-subset average comparison.",Good grouped-bar counterpart to the stacked subset-average case.,"{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Number of procedures"",""group"":""Surgical""}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""field"":""Number of procedures"",""group"":""Surgical""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""field"":""Number of procedures"",""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":true}]}"
grouped-bar,0wgqpso2vnilpym6,bargrouped,Is the difference between Alaska's 2000 value and 2020 value greater than Total's 2020 minus 2000 value?,"1. Read Alaska’s production in 2000 (0.97) and 2020 (0.49) and take the difference, which is 0.48 million barrels per day.
2. Then read Total’s production in 2000 (5.82) and 2020 (6.7) and compute the change, which is 0.88 million barrels per day.
3. Compare 0.48 to 0.88; Alaska’s difference is smaller, so it is not greater.",filter(group=Alaska) -> diff -> filter(group=Total) -> diff -> diff,Uses nested difference comparison without requiring unsupported count/sum; grouped-bar supports diff and filter.,Final boolean can be represented by sign/magnitude of the final diff rather than compareBool.,{}
grouped-bar,1suppecte0dm69gm,bargrouped,Is the average of Men's Not at all and Women's Not at all greater than All Results' Not at all?,"Average the two “Not at all” percentages by combining 0.42 (Men) and 0.59 (Women) to get an average of 0.505.
Compare this average of 0.505 to the “Not at all” percentage for All adults, which is 0.50.
Since 0.505 is greater than 0.50, the average of Men’s and Women’s “Not at all” is greater than All adults’ “Not at all.”",filter(Men/Women Not at all) -> average -> filter(All Results Not at all) -> diff,Uses a small selected average compared against a reference bar; supported by grouped-bar filter/average/diff.,"Final comparison should be encoded as a diff result, not compareBool.",{}
simple-line,7272hodb02i6e09q,linesimple,What is the difference between the maximum before 2014 and the maximum after 2014?,"1. Identify the years before 2014 (2009–2013) and find the maximum population growth there, which is 2.76.
2. Then look at the years after 2014 (2015–2019) and find the maximum, which is 2.73.
3. Subtract the two maxima to get the difference: 2.76 − 2.73 = 0.03.",filter(before 2014) -> findExtremum(max) -> filter(after 2014) -> findExtremum(max) -> diff,"Simple-line runner supports filter, findExtremum, and diff; the temporal split makes the composition non-trivial.",Good line case for preserving filtered scopes across two extrema.,"{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2009"",""2013""],""xKindHint"":""ordinal""},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Population growth compared to previous year"",""which"":""max""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""operator"":""between"",""value"":[""2015"",""2019""],""xKindHint"":""ordinal""},{""op"":""findExtremum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Population growth compared to previous year"",""which"":""max""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""field"":""Population growth compared to previous year"",""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}"
simple-line,7w9v4fsbg5ydxsr2,linesimple,Find the difference between the average percentage of even and odd years,"1. Separate the data into even years (2010, 2012, 2014, 2016, 2018) and odd years (2009, 2011, 2013, 2015, 2017).
2. Compute the average percentage for each group by summing their values and dividing by the number of years in the group.
3. The even-year average is 2.418 and the odd-year average is 2.262.
4. Subtract the two averages to get the difference, which is 0.156; taking the difference between the averages (even minus odd) gives about 0.16, and the absolute difference is also about 0.16.",filter(even years) -> average -> filter(odd years) -> average -> diff,"Uses two patterned temporal filters, two averages, and diff; all are supported in simple-line.",Good case for non-contiguous filter selection.,"{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2010"",""2012"",""2014"",""2016"",""2018""],""xKindHint"":""ordinal""},{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2009"",""2011"",""2013"",""2015"",""2017""]}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Percentage of gross domestic product""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Percentage of gross domestic product""}],""ops4"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":4},""field"":""Percentage of gross domestic product"",""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}"
